Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,-34387.77
1,2022-01-04,2,2022-01-13,52419.78
2,2022-01-13,2,2022-01-24,181080.42
3,2022-01-24,2,2022-02-02,-183367.76
4,2022-02-02,2,2022-02-11,-64959.77
5,2022-02-11,2,2022-02-23,-153267.12
6,2022-02-23,2,2022-03-04,-65553.83
7,2022-03-04,2,2022-03-15,70849.12
8,2022-03-15,2,2022-03-24,4390.23
9,2022-03-24,2,2022-04-04,54.94
10,2022-04-04,2,2022-04-19,-26220.49
11,2022-04-19,2,2022-04-28,4925.43
12,2022-04-28,2,2022-05-11,19349.61
13,2022-05-11,2,2022-05-23,9777.27
14,2022-05-23,2,2022-06-01,-38280.44
15,2022-06-01,2,2022-06-13,-19804.59
16,2022-06-13,2,2022-06-22,10151.28
17,2022-06-22,2,2022-07-01,-29178.24
18,2022-07-01,2,2022-07-12,-12476.84
19,2022-07-12,2,2022-07-22,2866.28
20,2022-07-22,2,2022-08-04,-1450.77
21,2022-08-04,2,2022-08-16,6293.62
22,2022-08-16,2,2022-08-25,1539.28
23,2022-08-25,2,2022-09-05,-13887.66
24,2022-09-05,2,2022-09-14,11977.99
25,2022-09-14,2,2022-09-23,-932.31
26,2022-09-23,2,2022-10-04,-9216.84
27,2022-10-04,2,2022-10-17,580.58
28,2022-10-17,2,2022-10-27,-6444.39
29,2022-10-27,2,2022-11-07,-1618.2
30,2022-11-07,2,2022-11-16,-1007.58
31,2022-11-16,2,2022-11-25,-911.79
32,2022-11-25,2,2022-12-07,1532.96
33,2022-12-07,2,2022-12-19,-567.92
34,2022-12-19,2,2022-12-28,-24.1
