Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,128.25
1,2022-01-04,2,2022-01-13,120.75
2,2022-01-13,2,2022-01-24,116.13
3,2022-01-24,2,2022-02-02,115.25
4,2022-02-02,2,2022-02-11,107.18
5,2022-02-11,2,2022-02-23,103.44
6,2022-02-23,2,2022-03-04,102.34
7,2022-03-04,2,2022-03-15,103.15
8,2022-03-15,2,2022-03-24,105.01
9,2022-03-24,2,2022-04-04,105.61
10,2022-04-04,2,2022-04-19,106.25
11,2022-04-19,2,2022-04-28,106.07
12,2022-04-28,2,2022-05-11,108.25
13,2022-05-11,2,2022-05-23,105.42
14,2022-05-23,2,2022-06-01,107.73
15,2022-06-01,2,2022-06-13,103.15
16,2022-06-13,2,2022-06-22,105.85
17,2022-06-22,2,2022-07-01,105.93
18,2022-07-01,2,2022-07-12,106.35
19,2022-07-12,2,2022-07-22,118.25
20,2022-07-22,2,2022-08-04,113.03
21,2022-08-04,2,2022-08-16,112.24
22,2022-08-16,2,2022-08-25,111.06
23,2022-08-25,2,2022-09-05,108.72
24,2022-09-05,2,2022-09-14,103.05
25,2022-09-14,2,2022-09-23,101.75
26,2022-09-23,2,2022-10-04,96.85
27,2022-10-04,2,2022-10-17,85.99
28,2022-10-17,2,2022-10-27,85.0
29,2022-10-27,2,2022-11-07,87.69
30,2022-11-07,2,2022-11-16,89.25
31,2022-11-16,2,2022-11-25,95.98
32,2022-11-25,2,2022-12-07,94.41
33,2022-12-07,2,2022-12-19,94.93
34,2022-12-19,2,2022-12-28,94.74
