Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,15,2022-01-04,57.03
1,2022-01-04,15,2022-01-13,60.09
2,2022-01-13,15,2022-01-24,57.61
3,2022-01-24,15,2022-02-02,59.82
4,2022-02-02,15,2022-02-11,61.1
5,2022-02-11,15,2022-02-23,65.83
6,2022-02-23,15,2022-03-04,67.44
7,2022-03-04,15,2022-03-15,68.06
8,2022-03-15,15,2022-03-24,64.98
9,2022-03-24,15,2022-04-04,64.69
10,2022-04-04,15,2022-04-19,65.18
11,2022-04-19,15,2022-04-28,67.01
12,2022-04-28,15,2022-05-11,65.46
13,2022-05-11,15,2022-05-23,63.8
14,2022-05-23,15,2022-06-01,65.13
15,2022-06-01,15,2022-06-13,66.74
16,2022-06-13,15,2022-06-22,62.52
17,2022-06-22,15,2022-07-01,58.33
18,2022-07-01,15,2022-07-12,60.73
19,2022-07-12,15,2022-07-22,63.09
20,2022-07-22,15,2022-08-04,62.08
21,2022-08-04,15,2022-08-16,60.02
22,2022-08-16,15,2022-08-25,58.86
23,2022-08-25,15,2022-09-05,61.89
24,2022-09-05,15,2022-09-14,60.69
25,2022-09-14,15,2022-09-23,59.23
26,2022-09-23,15,2022-10-04,55.83
27,2022-10-04,15,2022-10-17,55.14
28,2022-10-17,15,2022-10-27,57.52
29,2022-10-27,15,2022-11-07,59.95
30,2022-11-07,15,2022-11-16,59.93
31,2022-11-16,15,2022-11-25,61.46
32,2022-11-25,15,2022-12-07,63.39
33,2022-12-07,15,2022-12-19,65.19
34,2022-12-19,15,2022-12-28,65.68
