Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,15,2022-01-04,60.51
1,2022-01-04,15,2022-01-13,60.75
2,2022-01-13,15,2022-01-24,60.92
3,2022-01-24,15,2022-02-02,60.24
4,2022-02-02,15,2022-02-11,60.63
5,2022-02-11,15,2022-02-23,62.11
6,2022-02-23,15,2022-03-04,66.58
7,2022-03-04,15,2022-03-15,67.27
8,2022-03-15,15,2022-03-24,66.25
9,2022-03-24,15,2022-04-04,63.12
10,2022-04-04,15,2022-04-19,65.26
11,2022-04-19,15,2022-04-28,65.98
12,2022-04-28,15,2022-05-11,66.1
13,2022-05-11,15,2022-05-23,63.41
14,2022-05-23,15,2022-06-01,64.39
15,2022-06-01,15,2022-06-13,66.24
16,2022-06-13,15,2022-06-22,61.56
17,2022-06-22,15,2022-07-01,60.63
18,2022-07-01,15,2022-07-12,60.16
19,2022-07-12,15,2022-07-22,61.59
20,2022-07-22,15,2022-08-04,61.22
21,2022-08-04,15,2022-08-16,61.03
22,2022-08-16,15,2022-08-25,60.61
23,2022-08-25,15,2022-09-05,60.75
24,2022-09-05,15,2022-09-14,60.47
25,2022-09-14,15,2022-09-23,59.72
26,2022-09-23,15,2022-10-04,59.88
27,2022-10-04,15,2022-10-17,59.1
28,2022-10-17,15,2022-10-27,59.96
29,2022-10-27,15,2022-11-07,60.5
30,2022-11-07,15,2022-11-16,60.75
31,2022-11-16,15,2022-11-25,60.1
32,2022-11-25,15,2022-12-07,61.25
33,2022-12-07,15,2022-12-19,64.8
34,2022-12-19,15,2022-12-28,65.27
