Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,15,2022-01-04,70.55
1,2022-01-04,15,2022-01-13,71.43
2,2022-01-13,15,2022-01-24,70.32
3,2022-01-24,15,2022-02-02,69.63
4,2022-02-02,15,2022-02-11,70.17
5,2022-02-11,15,2022-02-23,72.22
6,2022-02-23,15,2022-03-04,70.64
7,2022-03-04,15,2022-03-15,71.18
8,2022-03-15,15,2022-03-24,72.8
9,2022-03-24,15,2022-04-04,72.96
10,2022-04-04,15,2022-04-19,70.27
11,2022-04-19,15,2022-04-28,69.63
12,2022-04-28,15,2022-05-11,68.35
13,2022-05-11,15,2022-05-23,69.84
14,2022-05-23,15,2022-06-01,69.83
15,2022-06-01,15,2022-06-13,70.08
16,2022-06-13,15,2022-06-22,69.76
17,2022-06-22,15,2022-07-01,70.2
18,2022-07-01,15,2022-07-12,69.64
19,2022-07-12,15,2022-07-22,69.94
20,2022-07-22,15,2022-08-04,69.76
21,2022-08-04,15,2022-08-16,70.07
22,2022-08-16,15,2022-08-25,70.55
23,2022-08-25,15,2022-09-05,71.07
24,2022-09-05,15,2022-09-14,70.01
25,2022-09-14,15,2022-09-23,70.36
26,2022-09-23,15,2022-10-04,69.0
27,2022-10-04,15,2022-10-17,68.83
28,2022-10-17,15,2022-10-27,69.26
29,2022-10-27,15,2022-11-07,69.62
30,2022-11-07,15,2022-11-16,69.92
31,2022-11-16,15,2022-11-25,68.82
32,2022-11-25,15,2022-12-07,68.43
33,2022-12-07,15,2022-12-19,69.49
34,2022-12-19,15,2022-12-28,69.01
