Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,15,2022-01-04,60.44
1,2022-01-04,15,2022-01-13,60.03
2,2022-01-13,15,2022-01-24,60.31
3,2022-01-24,15,2022-02-02,60.67
4,2022-02-02,15,2022-02-11,61.95
5,2022-02-11,15,2022-02-23,63.74
6,2022-02-23,15,2022-03-04,67.34
7,2022-03-04,15,2022-03-15,67.29
8,2022-03-15,15,2022-03-24,67.84
9,2022-03-24,15,2022-04-04,63.8
10,2022-04-04,15,2022-04-19,65.11
11,2022-04-19,15,2022-04-28,66.79
12,2022-04-28,15,2022-05-11,65.87
13,2022-05-11,15,2022-05-23,63.14
14,2022-05-23,15,2022-06-01,64.19
15,2022-06-01,15,2022-06-13,66.34
16,2022-06-13,15,2022-06-22,60.9
17,2022-06-22,15,2022-07-01,59.77
18,2022-07-01,15,2022-07-12,60.1
19,2022-07-12,15,2022-07-22,61.06
20,2022-07-22,15,2022-08-04,60.36
21,2022-08-04,15,2022-08-16,60.11
22,2022-08-16,15,2022-08-25,60.16
23,2022-08-25,15,2022-09-05,60.75
24,2022-09-05,15,2022-09-14,59.86
25,2022-09-14,15,2022-09-23,59.83
26,2022-09-23,15,2022-10-04,59.32
27,2022-10-04,15,2022-10-17,58.91
28,2022-10-17,15,2022-10-27,60.2
29,2022-10-27,15,2022-11-07,60.28
30,2022-11-07,15,2022-11-16,61.5
31,2022-11-16,15,2022-11-25,60.9
32,2022-11-25,15,2022-12-07,61.8
33,2022-12-07,15,2022-12-19,64.76
34,2022-12-19,15,2022-12-28,65.0
