Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,15,2022-01-04,61.07
1,2022-01-04,15,2022-01-13,59.3
2,2022-01-13,15,2022-01-24,60.21
3,2022-01-24,15,2022-02-02,60.99
4,2022-02-02,15,2022-02-11,60.35
5,2022-02-11,15,2022-02-23,62.91
6,2022-02-23,15,2022-03-04,64.73
7,2022-03-04,15,2022-03-15,69.48
8,2022-03-15,15,2022-03-24,69.15
9,2022-03-24,15,2022-04-04,64.01
10,2022-04-04,15,2022-04-19,65.45
11,2022-04-19,15,2022-04-28,64.95
12,2022-04-28,15,2022-05-11,62.87
13,2022-05-11,15,2022-05-23,63.55
14,2022-05-23,15,2022-06-01,63.15
15,2022-06-01,15,2022-06-13,65.5
16,2022-06-13,15,2022-06-22,60.87
17,2022-06-22,15,2022-07-01,59.53
18,2022-07-01,15,2022-07-12,61.07
19,2022-07-12,15,2022-07-22,61.08
20,2022-07-22,15,2022-08-04,59.98
21,2022-08-04,15,2022-08-16,59.17
22,2022-08-16,15,2022-08-25,61.94
23,2022-08-25,15,2022-09-05,60.06
24,2022-09-05,15,2022-09-14,59.97
25,2022-09-14,15,2022-09-23,59.08
26,2022-09-23,15,2022-10-04,62.14
27,2022-10-04,15,2022-10-17,58.96
28,2022-10-17,15,2022-10-27,59.39
29,2022-10-27,15,2022-11-07,61.1
30,2022-11-07,15,2022-11-16,59.56
31,2022-11-16,15,2022-11-25,61.26
32,2022-11-25,15,2022-12-07,61.7
33,2022-12-07,15,2022-12-19,63.9
34,2022-12-19,15,2022-12-28,65.39
