Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,15,2022-01-04,61.4
1,2022-01-04,15,2022-01-13,61.25
2,2022-01-13,15,2022-01-24,60.77
3,2022-01-24,15,2022-02-02,60.45
4,2022-02-02,15,2022-02-11,61.2
5,2022-02-11,15,2022-02-23,62.56
6,2022-02-23,15,2022-03-04,66.27
7,2022-03-04,15,2022-03-15,67.13
8,2022-03-15,15,2022-03-24,66.78
9,2022-03-24,15,2022-04-04,64.14
10,2022-04-04,15,2022-04-19,66.11
11,2022-04-19,15,2022-04-28,66.71
12,2022-04-28,15,2022-05-11,65.89
13,2022-05-11,15,2022-05-23,64.03
14,2022-05-23,15,2022-06-01,64.76
15,2022-06-01,15,2022-06-13,65.8
16,2022-06-13,15,2022-06-22,61.34
17,2022-06-22,15,2022-07-01,60.75
18,2022-07-01,15,2022-07-12,61.06
19,2022-07-12,15,2022-07-22,61.41
20,2022-07-22,15,2022-08-04,60.3
21,2022-08-04,15,2022-08-16,61.09
22,2022-08-16,15,2022-08-25,60.74
23,2022-08-25,15,2022-09-05,60.97
24,2022-09-05,15,2022-09-14,60.91
25,2022-09-14,15,2022-09-23,60.91
26,2022-09-23,15,2022-10-04,60.12
27,2022-10-04,15,2022-10-17,59.24
28,2022-10-17,15,2022-10-27,59.48
29,2022-10-27,15,2022-11-07,60.22
30,2022-11-07,15,2022-11-16,59.83
31,2022-11-16,15,2022-11-25,60.65
32,2022-11-25,15,2022-12-07,61.52
33,2022-12-07,15,2022-12-19,64.08
34,2022-12-19,15,2022-12-28,64.91
