Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,15,2022-01-04,61.28
1,2022-01-04,15,2022-01-13,60.11
2,2022-01-13,15,2022-01-24,59.15
3,2022-01-24,15,2022-02-02,63.31
4,2022-02-02,15,2022-02-11,63.65
5,2022-02-11,15,2022-02-23,63.35
6,2022-02-23,15,2022-03-04,67.89
7,2022-03-04,15,2022-03-15,66.88
8,2022-03-15,15,2022-03-24,66.88
9,2022-03-24,15,2022-04-04,62.61
10,2022-04-04,15,2022-04-19,65.29
11,2022-04-19,15,2022-04-28,66.36
12,2022-04-28,15,2022-05-11,62.92
13,2022-05-11,15,2022-05-23,64.36
14,2022-05-23,15,2022-06-01,62.98
15,2022-06-01,15,2022-06-13,64.29
16,2022-06-13,15,2022-06-22,61.15
17,2022-06-22,15,2022-07-01,59.07
18,2022-07-01,15,2022-07-12,61.34
19,2022-07-12,15,2022-07-22,60.75
20,2022-07-22,15,2022-08-04,61.79
21,2022-08-04,15,2022-08-16,59.31
22,2022-08-16,15,2022-08-25,59.8
23,2022-08-25,15,2022-09-05,60.79
24,2022-09-05,15,2022-09-14,60.39
25,2022-09-14,15,2022-09-23,59.83
26,2022-09-23,15,2022-10-04,58.11
27,2022-10-04,15,2022-10-17,58.88
28,2022-10-17,15,2022-10-27,58.94
29,2022-10-27,15,2022-11-07,60.81
30,2022-11-07,15,2022-11-16,57.81
31,2022-11-16,15,2022-11-25,61.95
32,2022-11-25,15,2022-12-07,62.68
33,2022-12-07,15,2022-12-19,65.29
34,2022-12-19,15,2022-12-28,66.34
