Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,1,2022-01-04,23.92
1,2022-01-04,1,2022-01-13,27.06
2,2022-01-13,1,2022-01-24,27.14
3,2022-01-24,1,2022-02-02,25.32
4,2022-02-02,1,2022-02-11,26.11
5,2022-02-11,1,2022-02-23,26.1
6,2022-02-23,1,2022-03-04,26.01
7,2022-03-04,1,2022-03-15,23.99
8,2022-03-15,1,2022-03-24,23.49
9,2022-03-24,1,2022-04-04,25.59
10,2022-04-04,1,2022-04-19,24.18
11,2022-04-19,1,2022-04-28,23.48
12,2022-04-28,1,2022-05-11,24.42
13,2022-05-11,1,2022-05-23,24.15
14,2022-05-23,1,2022-06-01,25.59
15,2022-06-01,1,2022-06-13,26.0
16,2022-06-13,1,2022-06-22,25.79
17,2022-06-22,1,2022-07-01,26.42
18,2022-07-01,1,2022-07-12,26.2
19,2022-07-12,1,2022-07-22,25.71
20,2022-07-22,1,2022-08-04,25.0
21,2022-08-04,1,2022-08-16,24.9
22,2022-08-16,1,2022-08-25,26.62
23,2022-08-25,1,2022-09-05,25.83
24,2022-09-05,1,2022-09-14,25.19
25,2022-09-14,1,2022-09-23,26.13
26,2022-09-23,1,2022-10-04,24.93
27,2022-10-04,1,2022-10-17,24.02
28,2022-10-17,1,2022-10-27,25.35
29,2022-10-27,1,2022-11-07,25.32
30,2022-11-07,1,2022-11-16,24.88
31,2022-11-16,1,2022-11-25,24.54
32,2022-11-25,1,2022-12-07,24.05
33,2022-12-07,1,2022-12-19,23.86
34,2022-12-19,1,2022-12-28,23.98
