Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,1,2022-01-04,24.5
1,2022-01-04,1,2022-01-13,27.16
2,2022-01-13,1,2022-01-24,26.54
3,2022-01-24,1,2022-02-02,26.58
4,2022-02-02,1,2022-02-11,25.74
5,2022-02-11,1,2022-02-23,25.98
6,2022-02-23,1,2022-03-04,26.32
7,2022-03-04,1,2022-03-15,25.12
8,2022-03-15,1,2022-03-24,24.42
9,2022-03-24,1,2022-04-04,24.76
10,2022-04-04,1,2022-04-19,24.71
11,2022-04-19,1,2022-04-28,24.18
12,2022-04-28,1,2022-05-11,24.23
13,2022-05-11,1,2022-05-23,24.05
14,2022-05-23,1,2022-06-01,24.92
15,2022-06-01,1,2022-06-13,26.11
16,2022-06-13,1,2022-06-22,26.21
17,2022-06-22,1,2022-07-01,26.24
18,2022-07-01,1,2022-07-12,26.08
19,2022-07-12,1,2022-07-22,26.3
20,2022-07-22,1,2022-08-04,25.5
21,2022-08-04,1,2022-08-16,24.32
22,2022-08-16,1,2022-08-25,26.03
23,2022-08-25,1,2022-09-05,26.09
24,2022-09-05,1,2022-09-14,25.92
25,2022-09-14,1,2022-09-23,25.86
26,2022-09-23,1,2022-10-04,24.73
27,2022-10-04,1,2022-10-17,24.34
28,2022-10-17,1,2022-10-27,25.28
29,2022-10-27,1,2022-11-07,25.16
30,2022-11-07,1,2022-11-16,24.84
31,2022-11-16,1,2022-11-25,24.73
32,2022-11-25,1,2022-12-07,24.53
33,2022-12-07,1,2022-12-19,24.31
34,2022-12-19,1,2022-12-28,24.69
