Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,1,2022-01-04,25.52
1,2022-01-04,1,2022-01-13,30.6
2,2022-01-13,1,2022-01-24,26.65
3,2022-01-24,1,2022-02-02,26.51
4,2022-02-02,1,2022-02-11,18.7
5,2022-02-11,1,2022-02-23,13.85
6,2022-02-23,1,2022-03-04,28.14
7,2022-03-04,1,2022-03-15,22.77
8,2022-03-15,1,2022-03-24,29.68
9,2022-03-24,1,2022-04-04,8.94
10,2022-04-04,1,2022-04-19,23.12
11,2022-04-19,1,2022-04-28,27.88
12,2022-04-28,1,2022-05-11,18.32
13,2022-05-11,1,2022-05-23,34.64
14,2022-05-23,1,2022-06-01,18.77
15,2022-06-01,1,2022-06-13,23.11
16,2022-06-13,1,2022-06-22,15.29
17,2022-06-22,1,2022-07-01,32.84
18,2022-07-01,1,2022-07-12,32.73
19,2022-07-12,1,2022-07-22,5.12
20,2022-07-22,1,2022-08-04,29.41
21,2022-08-04,1,2022-08-16,10.61
22,2022-08-16,1,2022-08-25,24.81
23,2022-08-25,1,2022-09-05,31.37
24,2022-09-05,1,2022-09-14,31.35
25,2022-09-14,1,2022-09-23,17.21
26,2022-09-23,1,2022-10-04,23.49
27,2022-10-04,1,2022-10-17,18.13
28,2022-10-17,1,2022-10-27,29.01
29,2022-10-27,1,2022-11-07,25.5
30,2022-11-07,1,2022-11-16,25.06
31,2022-11-16,1,2022-11-25,33.48
32,2022-11-25,1,2022-12-07,14.25
33,2022-12-07,1,2022-12-19,20.78
34,2022-12-19,1,2022-12-28,27.65
