Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,1,2022-01-04,24.89
1,2022-01-04,1,2022-01-13,27.57
2,2022-01-13,1,2022-01-24,26.81
3,2022-01-24,1,2022-02-02,28.03
4,2022-02-02,1,2022-02-11,25.4
5,2022-02-11,1,2022-02-23,25.19
6,2022-02-23,1,2022-03-04,26.23
7,2022-03-04,1,2022-03-15,23.65
8,2022-03-15,1,2022-03-24,22.76
9,2022-03-24,1,2022-04-04,24.32
10,2022-04-04,1,2022-04-19,26.86
11,2022-04-19,1,2022-04-28,25.69
12,2022-04-28,1,2022-05-11,25.05
13,2022-05-11,1,2022-05-23,24.29
14,2022-05-23,1,2022-06-01,25.46
15,2022-06-01,1,2022-06-13,26.0
16,2022-06-13,1,2022-06-22,26.46
17,2022-06-22,1,2022-07-01,26.46
18,2022-07-01,1,2022-07-12,25.9
19,2022-07-12,1,2022-07-22,25.75
20,2022-07-22,1,2022-08-04,24.86
21,2022-08-04,1,2022-08-16,25.11
22,2022-08-16,1,2022-08-25,25.83
23,2022-08-25,1,2022-09-05,26.01
24,2022-09-05,1,2022-09-14,25.53
25,2022-09-14,1,2022-09-23,24.27
26,2022-09-23,1,2022-10-04,24.17
27,2022-10-04,1,2022-10-17,24.43
28,2022-10-17,1,2022-10-27,25.8
29,2022-10-27,1,2022-11-07,25.15
30,2022-11-07,1,2022-11-16,25.2
31,2022-11-16,1,2022-11-25,25.23
32,2022-11-25,1,2022-12-07,23.65
33,2022-12-07,1,2022-12-19,23.59
34,2022-12-19,1,2022-12-28,24.71
