Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,1,2022-01-04,23.55
1,2022-01-04,1,2022-01-13,26.48
2,2022-01-13,1,2022-01-24,24.85
3,2022-01-24,1,2022-02-02,25.17
4,2022-02-02,1,2022-02-11,26.08
5,2022-02-11,1,2022-02-23,26.74
6,2022-02-23,1,2022-03-04,27.6
7,2022-03-04,1,2022-03-15,23.64
8,2022-03-15,1,2022-03-24,22.44
9,2022-03-24,1,2022-04-04,25.2
10,2022-04-04,1,2022-04-19,23.79
11,2022-04-19,1,2022-04-28,24.66
12,2022-04-28,1,2022-05-11,22.81
13,2022-05-11,1,2022-05-23,23.99
14,2022-05-23,1,2022-06-01,23.12
15,2022-06-01,1,2022-06-13,27.74
16,2022-06-13,1,2022-06-22,25.82
17,2022-06-22,1,2022-07-01,25.62
18,2022-07-01,1,2022-07-12,25.35
19,2022-07-12,1,2022-07-22,25.71
20,2022-07-22,1,2022-08-04,23.01
21,2022-08-04,1,2022-08-16,24.22
22,2022-08-16,1,2022-08-25,26.09
23,2022-08-25,1,2022-09-05,26.36
24,2022-09-05,1,2022-09-14,26.37
25,2022-09-14,1,2022-09-23,25.39
26,2022-09-23,1,2022-10-04,23.84
27,2022-10-04,1,2022-10-17,24.43
28,2022-10-17,1,2022-10-27,25.6
29,2022-10-27,1,2022-11-07,28.48
30,2022-11-07,1,2022-11-16,26.59
31,2022-11-16,1,2022-11-25,23.43
32,2022-11-25,1,2022-12-07,25.53
33,2022-12-07,1,2022-12-19,21.49
34,2022-12-19,1,2022-12-28,25.34
