Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,1,2022-01-04,23.7
1,2022-01-04,1,2022-01-13,27.0
2,2022-01-13,1,2022-01-24,26.5
3,2022-01-24,1,2022-02-02,26.0
4,2022-02-02,1,2022-02-11,25.25
5,2022-02-11,1,2022-02-23,25.5
6,2022-02-23,1,2022-03-04,26.25
7,2022-03-04,1,2022-03-15,24.3
8,2022-03-15,1,2022-03-24,24.0
9,2022-03-24,1,2022-04-04,24.1
10,2022-04-04,1,2022-04-19,24.3
11,2022-04-19,1,2022-04-28,23.6
12,2022-04-28,1,2022-05-11,24.1
13,2022-05-11,1,2022-05-23,23.8
14,2022-05-23,1,2022-06-01,25.25
15,2022-06-01,1,2022-06-13,26.25
16,2022-06-13,1,2022-06-22,26.0
17,2022-06-22,1,2022-07-01,26.0
18,2022-07-01,1,2022-07-12,26.0
19,2022-07-12,1,2022-07-22,26.0
20,2022-07-22,1,2022-08-04,25.25
21,2022-08-04,1,2022-08-16,25.0
22,2022-08-16,1,2022-08-25,26.25
23,2022-08-25,1,2022-09-05,26.25
24,2022-09-05,1,2022-09-14,25.5
25,2022-09-14,1,2022-09-23,25.5
26,2022-09-23,1,2022-10-04,24.9
27,2022-10-04,1,2022-10-17,24.3
28,2022-10-17,1,2022-10-27,25.25
29,2022-10-27,1,2022-11-07,25.25
30,2022-11-07,1,2022-11-16,25.0
31,2022-11-16,1,2022-11-25,24.4
32,2022-11-25,1,2022-12-07,23.6
33,2022-12-07,1,2022-12-19,23.6
34,2022-12-19,1,2022-12-28,24.1
