Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,78.19
1,2022-01-04,19,2022-01-13,85.04
2,2022-01-13,19,2022-01-24,71.3
3,2022-01-24,19,2022-02-02,74.3
4,2022-02-02,19,2022-02-11,78.63
5,2022-02-11,19,2022-02-23,77.99
6,2022-02-23,19,2022-03-04,76.67
7,2022-03-04,19,2022-03-15,75.28
8,2022-03-15,19,2022-03-24,77.57
9,2022-03-24,19,2022-04-04,81.96
10,2022-04-04,19,2022-04-19,76.6
11,2022-04-19,19,2022-04-28,63.44
12,2022-04-28,19,2022-05-11,66.28
13,2022-05-11,19,2022-05-23,74.66
14,2022-05-23,19,2022-06-01,74.73
15,2022-06-01,19,2022-06-13,73.77
16,2022-06-13,19,2022-06-22,65.03
17,2022-06-22,19,2022-07-01,65.74
18,2022-07-01,19,2022-07-12,72.19
19,2022-07-12,19,2022-07-22,69.93
20,2022-07-22,19,2022-08-04,70.11
21,2022-08-04,19,2022-08-16,75.18
22,2022-08-16,19,2022-08-25,81.45
23,2022-08-25,19,2022-09-05,69.29
24,2022-09-05,19,2022-09-14,69.12
25,2022-09-14,19,2022-09-23,73.87
26,2022-09-23,19,2022-10-04,67.48
27,2022-10-04,19,2022-10-17,76.9
28,2022-10-17,19,2022-10-27,65.62
29,2022-10-27,19,2022-11-07,69.91
30,2022-11-07,19,2022-11-16,75.12
31,2022-11-16,19,2022-11-25,71.52
32,2022-11-25,19,2022-12-07,75.57
33,2022-12-07,19,2022-12-19,74.86
34,2022-12-19,19,2022-12-28,77.46
