Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,75.67
1,2022-01-04,19,2022-01-13,77.71
2,2022-01-13,19,2022-01-24,76.75
3,2022-01-24,19,2022-02-02,76.45
4,2022-02-02,19,2022-02-11,75.97
5,2022-02-11,19,2022-02-23,77.38
6,2022-02-23,19,2022-03-04,77.52
7,2022-03-04,19,2022-03-15,76.14
8,2022-03-15,19,2022-03-24,76.21
9,2022-03-24,19,2022-04-04,76.78
10,2022-04-04,19,2022-04-19,76.91
11,2022-04-19,19,2022-04-28,75.9
12,2022-04-28,19,2022-05-11,74.58
13,2022-05-11,19,2022-05-23,74.73
14,2022-05-23,19,2022-06-01,75.8
15,2022-06-01,19,2022-06-13,75.56
16,2022-06-13,19,2022-06-22,73.0
17,2022-06-22,19,2022-07-01,70.29
18,2022-07-01,19,2022-07-12,70.07
19,2022-07-12,19,2022-07-22,71.39
20,2022-07-22,19,2022-08-04,70.81
21,2022-08-04,19,2022-08-16,71.75
22,2022-08-16,19,2022-08-25,74.41
23,2022-08-25,19,2022-09-05,73.72
24,2022-09-05,19,2022-09-14,72.75
25,2022-09-14,19,2022-09-23,73.33
26,2022-09-23,19,2022-10-04,72.93
27,2022-10-04,19,2022-10-17,72.88
28,2022-10-17,19,2022-10-27,71.16
29,2022-10-27,19,2022-11-07,71.81
30,2022-11-07,19,2022-11-16,71.87
31,2022-11-16,19,2022-11-25,72.02
32,2022-11-25,19,2022-12-07,72.09
33,2022-12-07,19,2022-12-19,72.31
34,2022-12-19,19,2022-12-28,74.55
