Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,76.07
1,2022-01-04,19,2022-01-13,77.03
2,2022-01-13,19,2022-01-24,76.4
3,2022-01-24,19,2022-02-02,76.23
4,2022-02-02,19,2022-02-11,76.61
5,2022-02-11,19,2022-02-23,77.76
6,2022-02-23,19,2022-03-04,77.12
7,2022-03-04,19,2022-03-15,76.32
8,2022-03-15,19,2022-03-24,75.92
9,2022-03-24,19,2022-04-04,76.79
10,2022-04-04,19,2022-04-19,77.11
11,2022-04-19,19,2022-04-28,75.41
12,2022-04-28,19,2022-05-11,73.63
13,2022-05-11,19,2022-05-23,75.44
14,2022-05-23,19,2022-06-01,75.49
15,2022-06-01,19,2022-06-13,74.8
16,2022-06-13,19,2022-06-22,71.7
17,2022-06-22,19,2022-07-01,70.45
18,2022-07-01,19,2022-07-12,70.22
19,2022-07-12,19,2022-07-22,70.35
20,2022-07-22,19,2022-08-04,69.48
21,2022-08-04,19,2022-08-16,71.28
22,2022-08-16,19,2022-08-25,74.62
23,2022-08-25,19,2022-09-05,73.44
24,2022-09-05,19,2022-09-14,72.58
25,2022-09-14,19,2022-09-23,73.64
26,2022-09-23,19,2022-10-04,72.53
27,2022-10-04,19,2022-10-17,72.65
28,2022-10-17,19,2022-10-27,70.48
29,2022-10-27,19,2022-11-07,71.93
30,2022-11-07,19,2022-11-16,72.04
31,2022-11-16,19,2022-11-25,71.65
32,2022-11-25,19,2022-12-07,72.23
33,2022-12-07,19,2022-12-19,72.14
34,2022-12-19,19,2022-12-28,74.12
