Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,75.23
1,2022-01-04,19,2022-01-13,77.36
2,2022-01-13,19,2022-01-24,75.51
3,2022-01-24,19,2022-02-02,76.16
4,2022-02-02,19,2022-02-11,75.76
5,2022-02-11,19,2022-02-23,77.33
6,2022-02-23,19,2022-03-04,74.85
7,2022-03-04,19,2022-03-15,75.7
8,2022-03-15,19,2022-03-24,76.23
9,2022-03-24,19,2022-04-04,76.2
10,2022-04-04,19,2022-04-19,76.37
11,2022-04-19,19,2022-04-28,75.51
12,2022-04-28,19,2022-05-11,73.66
13,2022-05-11,19,2022-05-23,74.98
14,2022-05-23,19,2022-06-01,74.39
15,2022-06-01,19,2022-06-13,74.89
16,2022-06-13,19,2022-06-22,72.35
17,2022-06-22,19,2022-07-01,69.41
18,2022-07-01,19,2022-07-12,69.45
19,2022-07-12,19,2022-07-22,68.77
20,2022-07-22,19,2022-08-04,68.85
21,2022-08-04,19,2022-08-16,71.6
22,2022-08-16,19,2022-08-25,74.95
23,2022-08-25,19,2022-09-05,73.75
24,2022-09-05,19,2022-09-14,71.53
25,2022-09-14,19,2022-09-23,72.81
26,2022-09-23,19,2022-10-04,72.83
27,2022-10-04,19,2022-10-17,75.45
28,2022-10-17,19,2022-10-27,70.94
29,2022-10-27,19,2022-11-07,71.55
30,2022-11-07,19,2022-11-16,71.93
31,2022-11-16,19,2022-11-25,72.45
32,2022-11-25,19,2022-12-07,73.55
33,2022-12-07,19,2022-12-19,72.63
34,2022-12-19,19,2022-12-28,74.3
