Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,75.42
1,2022-01-04,19,2022-01-13,77.04
2,2022-01-13,19,2022-01-24,75.0
3,2022-01-24,19,2022-02-02,75.66
4,2022-02-02,19,2022-02-11,78.28
5,2022-02-11,19,2022-02-23,75.31
6,2022-02-23,19,2022-03-04,76.31
7,2022-03-04,19,2022-03-15,77.81
8,2022-03-15,19,2022-03-24,75.52
9,2022-03-24,19,2022-04-04,76.29
10,2022-04-04,19,2022-04-19,74.0
11,2022-04-19,19,2022-04-28,67.8
12,2022-04-28,19,2022-05-11,70.22
13,2022-05-11,19,2022-05-23,74.66
14,2022-05-23,19,2022-06-01,76.32
15,2022-06-01,19,2022-06-13,72.53
16,2022-06-13,19,2022-06-22,67.04
17,2022-06-22,19,2022-07-01,66.77
18,2022-07-01,19,2022-07-12,67.13
19,2022-07-12,19,2022-07-22,65.28
20,2022-07-22,19,2022-08-04,68.24
21,2022-08-04,19,2022-08-16,72.48
22,2022-08-16,19,2022-08-25,77.46
23,2022-08-25,19,2022-09-05,73.02
24,2022-09-05,19,2022-09-14,71.88
25,2022-09-14,19,2022-09-23,70.66
26,2022-09-23,19,2022-10-04,72.14
27,2022-10-04,19,2022-10-17,74.54
28,2022-10-17,19,2022-10-27,71.33
29,2022-10-27,19,2022-11-07,71.29
30,2022-11-07,19,2022-11-16,71.7
31,2022-11-16,19,2022-11-25,74.2
32,2022-11-25,19,2022-12-07,73.66
33,2022-12-07,19,2022-12-19,74.12
34,2022-12-19,19,2022-12-28,73.52
