Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,76.39
1,2022-01-04,19,2022-01-13,76.86
2,2022-01-13,19,2022-01-24,76.48
3,2022-01-24,19,2022-02-02,76.24
4,2022-02-02,19,2022-02-11,76.5
5,2022-02-11,19,2022-02-23,77.75
6,2022-02-23,19,2022-03-04,76.73
7,2022-03-04,19,2022-03-15,76.21
8,2022-03-15,19,2022-03-24,76.59
9,2022-03-24,19,2022-04-04,76.69
10,2022-04-04,19,2022-04-19,76.24
11,2022-04-19,19,2022-04-28,75.84
12,2022-04-28,19,2022-05-11,74.57
13,2022-05-11,19,2022-05-23,75.62
14,2022-05-23,19,2022-06-01,75.7
15,2022-06-01,19,2022-06-13,74.41
16,2022-06-13,19,2022-06-22,72.16
17,2022-06-22,19,2022-07-01,71.81
18,2022-07-01,19,2022-07-12,69.81
19,2022-07-12,19,2022-07-22,71.52
20,2022-07-22,19,2022-08-04,70.76
21,2022-08-04,19,2022-08-16,70.86
22,2022-08-16,19,2022-08-25,73.54
23,2022-08-25,19,2022-09-05,73.75
24,2022-09-05,19,2022-09-14,72.0
25,2022-09-14,19,2022-09-23,73.36
26,2022-09-23,19,2022-10-04,72.66
27,2022-10-04,19,2022-10-17,74.3
28,2022-10-17,19,2022-10-27,71.49
29,2022-10-27,19,2022-11-07,71.36
30,2022-11-07,19,2022-11-16,72.1
31,2022-11-16,19,2022-11-25,72.7
32,2022-11-25,19,2022-12-07,72.94
33,2022-12-07,19,2022-12-19,73.48
34,2022-12-19,19,2022-12-28,74.59
