param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
RandomForest_lags12_lags_past_covariates12_output_chunk_length1.csv,2.8,2.5,57.14,31.43,31.43,25.71,25.71
RandomForest_lags12_lags_past_covariates16_output_chunk_length1.csv,2.64,2.44,51.43,31.43,31.43,20.0,20.0
RandomForest_lags12_lags_past_covariates1_output_chunk_length1.csv,2.93,2.65,42.86,22.86,22.86,20.0,20.0
RandomForest_lags12_lags_past_covariates20_output_chunk_length1.csv,2.81,2.58,48.57,28.57,28.57,20.0,20.0
RandomForest_lags12_lags_past_covariates24_output_chunk_length1.csv,2.61,2.45,48.57,28.57,28.57,20.0,20.0
RandomForest_lags12_lags_past_covariates2_output_chunk_length1.csv,2.79,2.51,48.57,28.57,28.57,20.0,20.0
RandomForest_lags12_lags_past_covariates3_output_chunk_length1.csv,2.6,2.38,54.29,34.29,34.29,20.0,20.0
RandomForest_lags12_lags_past_covariates4_output_chunk_length1.csv,2.66,2.4,45.71,22.86,22.86,22.86,22.86
RandomForest_lags12_lags_past_covariates8_output_chunk_length1.csv,2.54,2.35,48.57,28.57,28.57,20.0,20.0
RandomForest_lags16_lags_past_covariates12_output_chunk_length1.csv,2.71,2.44,45.71,31.43,31.43,14.29,14.29
RandomForest_lags16_lags_past_covariates16_output_chunk_length1.csv,2.84,2.59,45.71,31.43,31.43,14.29,14.29
RandomForest_lags16_lags_past_covariates1_output_chunk_length1.csv,2.88,2.66,45.71,25.71,25.71,20.0,20.0
RandomForest_lags16_lags_past_covariates20_output_chunk_length1.csv,2.81,2.52,51.43,31.43,31.43,20.0,20.0
RandomForest_lags16_lags_past_covariates24_output_chunk_length1.csv,2.74,2.55,54.29,37.14,37.14,17.14,17.14
RandomForest_lags16_lags_past_covariates2_output_chunk_length1.csv,2.71,2.47,57.14,34.29,34.29,22.86,22.86
RandomForest_lags16_lags_past_covariates3_output_chunk_length1.csv,2.66,2.37,54.29,37.14,37.14,20.0,20.0
RandomForest_lags16_lags_past_covariates4_output_chunk_length1.csv,2.58,2.31,48.57,31.43,31.43,17.14,17.14
RandomForest_lags16_lags_past_covariates8_output_chunk_length1.csv,2.68,2.49,54.29,34.29,34.29,20.0,20.0
RandomForest_lags1_lags_past_covariates12_output_chunk_length1.csv,2.61,2.33,51.43,31.43,31.43,20.0,20.0
RandomForest_lags1_lags_past_covariates16_output_chunk_length1.csv,2.69,2.44,57.14,34.29,34.29,22.86,22.86
RandomForest_lags1_lags_past_covariates1_output_chunk_length1.csv,2.81,2.53,51.43,28.57,28.57,22.86,22.86
RandomForest_lags1_lags_past_covariates20_output_chunk_length1.csv,2.81,2.5,51.43,31.43,31.43,20.0,20.0
RandomForest_lags1_lags_past_covariates24_output_chunk_length1.csv,2.63,2.49,51.43,31.43,31.43,20.0,20.0
RandomForest_lags1_lags_past_covariates2_output_chunk_length1.csv,2.74,2.51,54.29,31.43,31.43,22.86,22.86
RandomForest_lags1_lags_past_covariates3_output_chunk_length1.csv,2.74,2.43,48.57,31.43,31.43,17.14,17.14
RandomForest_lags1_lags_past_covariates4_output_chunk_length1.csv,2.5,2.28,57.14,31.43,31.43,25.71,25.71
RandomForest_lags1_lags_past_covariates8_output_chunk_length1.csv,2.66,2.45,45.71,31.43,31.43,14.29,14.29
RandomForest_lags20_lags_past_covariates12_output_chunk_length1.csv,2.72,2.44,57.14,34.29,34.29,22.86,22.86
RandomForest_lags20_lags_past_covariates16_output_chunk_length1.csv,2.89,2.54,54.29,37.14,37.14,20.0,20.0
RandomForest_lags20_lags_past_covariates1_output_chunk_length1.csv,2.73,2.53,51.43,28.57,28.57,22.86,22.86
RandomForest_lags20_lags_past_covariates20_output_chunk_length1.csv,2.81,2.55,45.71,31.43,31.43,14.29,14.29
RandomForest_lags20_lags_past_covariates24_output_chunk_length1.csv,2.79,2.56,54.29,34.29,34.29,20.0,20.0
RandomForest_lags20_lags_past_covariates2_output_chunk_length1.csv,2.97,2.68,42.86,22.86,22.86,20.0,20.0
RandomForest_lags20_lags_past_covariates3_output_chunk_length1.csv,2.58,2.38,48.57,28.57,28.57,20.0,20.0
RandomForest_lags20_lags_past_covariates4_output_chunk_length1.csv,2.5,2.37,57.14,37.14,37.14,22.86,22.86
RandomForest_lags20_lags_past_covariates8_output_chunk_length1.csv,2.72,2.46,42.86,28.57,28.57,14.29,14.29
RandomForest_lags24_lags_past_covariates12_output_chunk_length1.csv,2.76,2.53,51.43,28.57,28.57,22.86,22.86
RandomForest_lags24_lags_past_covariates16_output_chunk_length1.csv,2.8,2.55,54.29,34.29,34.29,20.0,20.0
RandomForest_lags24_lags_past_covariates1_output_chunk_length1.csv,2.83,2.61,45.71,20.0,20.0,25.71,25.71
RandomForest_lags24_lags_past_covariates20_output_chunk_length1.csv,2.79,2.51,54.29,34.29,34.29,20.0,20.0
RandomForest_lags24_lags_past_covariates24_output_chunk_length1.csv,2.61,2.4,60.0,37.14,37.14,22.86,22.86
RandomForest_lags24_lags_past_covariates2_output_chunk_length1.csv,2.78,2.55,48.57,22.86,22.86,25.71,25.71
RandomForest_lags24_lags_past_covariates3_output_chunk_length1.csv,2.73,2.46,54.29,34.29,34.29,20.0,20.0
RandomForest_lags24_lags_past_covariates4_output_chunk_length1.csv,2.67,2.47,54.29,34.29,34.29,20.0,20.0
RandomForest_lags24_lags_past_covariates8_output_chunk_length1.csv,2.73,2.45,51.43,28.57,28.57,22.86,22.86
RandomForest_lags2_lags_past_covariates12_output_chunk_length1.csv,2.59,2.41,54.29,34.29,34.29,20.0,20.0
RandomForest_lags2_lags_past_covariates16_output_chunk_length1.csv,2.71,2.46,51.43,37.14,37.14,14.29,14.29
RandomForest_lags2_lags_past_covariates1_output_chunk_length1.csv,2.86,2.54,54.29,28.57,28.57,25.71,25.71
RandomForest_lags2_lags_past_covariates20_output_chunk_length1.csv,2.68,2.51,54.29,34.29,34.29,20.0,20.0
RandomForest_lags2_lags_past_covariates24_output_chunk_length1.csv,2.83,2.6,48.57,31.43,31.43,17.14,17.14
RandomForest_lags2_lags_past_covariates2_output_chunk_length1.csv,2.86,2.51,48.57,28.57,28.57,20.0,20.0
RandomForest_lags2_lags_past_covariates3_output_chunk_length1.csv,2.5,2.24,54.29,34.29,34.29,22.86,22.86
RandomForest_lags2_lags_past_covariates4_output_chunk_length1.csv,2.66,2.35,51.43,31.43,31.43,20.0,20.0
RandomForest_lags2_lags_past_covariates8_output_chunk_length1.csv,2.71,2.48,51.43,28.57,28.57,22.86,22.86
RandomForest_lags3_lags_past_covariates12_output_chunk_length1.csv,2.8,2.54,51.43,31.43,31.43,20.0,20.0
RandomForest_lags3_lags_past_covariates16_output_chunk_length1.csv,2.63,2.37,54.29,34.29,34.29,20.0,20.0
RandomForest_lags3_lags_past_covariates1_output_chunk_length1.csv,2.9,2.62,51.43,28.57,28.57,22.86,22.86
RandomForest_lags3_lags_past_covariates20_output_chunk_length1.csv,2.85,2.54,48.57,28.57,28.57,20.0,20.0
RandomForest_lags3_lags_past_covariates24_output_chunk_length1.csv,2.61,2.45,57.14,40.0,40.0,17.14,17.14
RandomForest_lags3_lags_past_covariates2_output_chunk_length1.csv,2.82,2.56,48.57,25.71,25.71,22.86,22.86
RandomForest_lags3_lags_past_covariates3_output_chunk_length1.csv,2.78,2.55,40.0,25.71,25.71,14.29,14.29
