Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,75.47
1,2022-01-04,19,2022-01-13,75.91
2,2022-01-13,19,2022-01-24,75.98
3,2022-01-24,19,2022-02-02,76.03
4,2022-02-02,19,2022-02-11,76.3
5,2022-02-11,19,2022-02-23,76.75
6,2022-02-23,19,2022-03-04,75.89
7,2022-03-04,19,2022-03-15,77.01
8,2022-03-15,19,2022-03-24,76.09
9,2022-03-24,19,2022-04-04,77.23
10,2022-04-04,19,2022-04-19,77.33
11,2022-04-19,19,2022-04-28,76.33
12,2022-04-28,19,2022-05-11,75.7
13,2022-05-11,19,2022-05-23,74.62
14,2022-05-23,19,2022-06-01,75.01
15,2022-06-01,19,2022-06-13,74.08
16,2022-06-13,19,2022-06-22,71.95
17,2022-06-22,19,2022-07-01,71.21
18,2022-07-01,19,2022-07-12,69.95
19,2022-07-12,19,2022-07-22,68.5
20,2022-07-22,19,2022-08-04,67.41
21,2022-08-04,19,2022-08-16,69.05
22,2022-08-16,19,2022-08-25,68.55
23,2022-08-25,19,2022-09-05,71.14
24,2022-09-05,19,2022-09-14,70.33
25,2022-09-14,19,2022-09-23,71.51
26,2022-09-23,19,2022-10-04,70.41
27,2022-10-04,19,2022-10-17,71.45
28,2022-10-17,19,2022-10-27,69.48
29,2022-10-27,19,2022-11-07,71.55
30,2022-11-07,19,2022-11-16,70.89
31,2022-11-16,19,2022-11-25,71.8
32,2022-11-25,19,2022-12-07,72.47
33,2022-12-07,19,2022-12-19,72.08
34,2022-12-19,19,2022-12-28,73.1
