Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,72.32
1,2022-01-04,19,2022-01-13,77.6
2,2022-01-13,19,2022-01-24,76.23
3,2022-01-24,19,2022-02-02,78.1
4,2022-02-02,19,2022-02-11,75.73
5,2022-02-11,19,2022-02-23,78.44
6,2022-02-23,19,2022-03-04,76.78
7,2022-03-04,19,2022-03-15,76.54
8,2022-03-15,19,2022-03-24,76.51
9,2022-03-24,19,2022-04-04,73.91
10,2022-04-04,19,2022-04-19,76.68
11,2022-04-19,19,2022-04-28,66.06
12,2022-04-28,19,2022-05-11,69.31
13,2022-05-11,19,2022-05-23,70.78
14,2022-05-23,19,2022-06-01,71.21
15,2022-06-01,19,2022-06-13,75.31
16,2022-06-13,19,2022-06-22,69.23
17,2022-06-22,19,2022-07-01,66.48
18,2022-07-01,19,2022-07-12,69.17
19,2022-07-12,19,2022-07-22,66.69
20,2022-07-22,19,2022-08-04,67.11
21,2022-08-04,19,2022-08-16,70.79
22,2022-08-16,19,2022-08-25,75.74
23,2022-08-25,19,2022-09-05,71.83
24,2022-09-05,19,2022-09-14,71.62
25,2022-09-14,19,2022-09-23,72.71
26,2022-09-23,19,2022-10-04,72.04
27,2022-10-04,19,2022-10-17,73.73
28,2022-10-17,19,2022-10-27,71.37
29,2022-10-27,19,2022-11-07,70.34
30,2022-11-07,19,2022-11-16,73.72
31,2022-11-16,19,2022-11-25,74.09
32,2022-11-25,19,2022-12-07,71.3
33,2022-12-07,19,2022-12-19,73.89
34,2022-12-19,19,2022-12-28,73.09
