Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,74.37
1,2022-01-04,19,2022-01-13,77.26
2,2022-01-13,19,2022-01-24,74.99
3,2022-01-24,19,2022-02-02,75.48
4,2022-02-02,19,2022-02-11,75.99
5,2022-02-11,19,2022-02-23,77.74
6,2022-02-23,19,2022-03-04,77.28
7,2022-03-04,19,2022-03-15,75.21
8,2022-03-15,19,2022-03-24,76.3
9,2022-03-24,19,2022-04-04,74.78
10,2022-04-04,19,2022-04-19,79.39
11,2022-04-19,19,2022-04-28,68.15
12,2022-04-28,19,2022-05-11,69.52
13,2022-05-11,19,2022-05-23,70.38
14,2022-05-23,19,2022-06-01,70.91
15,2022-06-01,19,2022-06-13,75.6
16,2022-06-13,19,2022-06-22,67.99
17,2022-06-22,19,2022-07-01,66.11
18,2022-07-01,19,2022-07-12,67.76
19,2022-07-12,19,2022-07-22,70.13
20,2022-07-22,19,2022-08-04,69.61
21,2022-08-04,19,2022-08-16,73.43
22,2022-08-16,19,2022-08-25,76.42
23,2022-08-25,19,2022-09-05,72.76
24,2022-09-05,19,2022-09-14,72.21
25,2022-09-14,19,2022-09-23,71.56
26,2022-09-23,19,2022-10-04,68.9
27,2022-10-04,19,2022-10-17,74.35
28,2022-10-17,19,2022-10-27,72.33
29,2022-10-27,19,2022-11-07,72.08
30,2022-11-07,19,2022-11-16,71.23
31,2022-11-16,19,2022-11-25,70.77
32,2022-11-25,19,2022-12-07,71.72
33,2022-12-07,19,2022-12-19,72.08
34,2022-12-19,19,2022-12-28,76.55
