Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,75.41
1,2022-01-04,19,2022-01-13,75.94
2,2022-01-13,19,2022-01-24,76.35
3,2022-01-24,19,2022-02-02,75.01
4,2022-02-02,19,2022-02-11,76.05
5,2022-02-11,19,2022-02-23,75.69
6,2022-02-23,19,2022-03-04,76.04
7,2022-03-04,19,2022-03-15,75.57
8,2022-03-15,19,2022-03-24,76.47
9,2022-03-24,19,2022-04-04,76.08
10,2022-04-04,19,2022-04-19,76.98
11,2022-04-19,19,2022-04-28,76.0
12,2022-04-28,19,2022-05-11,73.06
13,2022-05-11,19,2022-05-23,73.65
14,2022-05-23,19,2022-06-01,72.72
15,2022-06-01,19,2022-06-13,72.87
16,2022-06-13,19,2022-06-22,69.36
17,2022-06-22,19,2022-07-01,67.01
18,2022-07-01,19,2022-07-12,68.33
19,2022-07-12,19,2022-07-22,68.85
20,2022-07-22,19,2022-08-04,69.01
21,2022-08-04,19,2022-08-16,70.13
22,2022-08-16,19,2022-08-25,70.85
23,2022-08-25,19,2022-09-05,71.97
24,2022-09-05,19,2022-09-14,71.82
25,2022-09-14,19,2022-09-23,71.94
26,2022-09-23,19,2022-10-04,71.45
27,2022-10-04,19,2022-10-17,72.46
28,2022-10-17,19,2022-10-27,70.61
29,2022-10-27,19,2022-11-07,71.19
30,2022-11-07,19,2022-11-16,71.12
31,2022-11-16,19,2022-11-25,71.99
32,2022-11-25,19,2022-12-07,72.2
33,2022-12-07,19,2022-12-19,72.1
34,2022-12-19,19,2022-12-28,72.6
