Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,72.47
1,2022-01-04,19,2022-01-13,76.1
2,2022-01-13,19,2022-01-24,77.95
3,2022-01-24,19,2022-02-02,77.96
4,2022-02-02,19,2022-02-11,74.43
5,2022-02-11,19,2022-02-23,77.67
6,2022-02-23,19,2022-03-04,76.77
7,2022-03-04,19,2022-03-15,76.33
8,2022-03-15,19,2022-03-24,77.89
9,2022-03-24,19,2022-04-04,74.6
10,2022-04-04,19,2022-04-19,76.02
11,2022-04-19,19,2022-04-28,67.59
12,2022-04-28,19,2022-05-11,68.16
13,2022-05-11,19,2022-05-23,70.28
14,2022-05-23,19,2022-06-01,71.17
15,2022-06-01,19,2022-06-13,75.26
16,2022-06-13,19,2022-06-22,69.13
17,2022-06-22,19,2022-07-01,66.14
18,2022-07-01,19,2022-07-12,67.91
19,2022-07-12,19,2022-07-22,67.67
20,2022-07-22,19,2022-08-04,66.22
21,2022-08-04,19,2022-08-16,71.68
22,2022-08-16,19,2022-08-25,75.79
23,2022-08-25,19,2022-09-05,72.5
24,2022-09-05,19,2022-09-14,73.06
25,2022-09-14,19,2022-09-23,72.76
26,2022-09-23,19,2022-10-04,72.1
27,2022-10-04,19,2022-10-17,72.68
28,2022-10-17,19,2022-10-27,71.29
29,2022-10-27,19,2022-11-07,70.37
30,2022-11-07,19,2022-11-16,74.09
31,2022-11-16,19,2022-11-25,74.5
32,2022-11-25,19,2022-12-07,71.42
33,2022-12-07,19,2022-12-19,73.95
34,2022-12-19,19,2022-12-28,73.23
