Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,58.09
1,2022-01-04,19,2022-01-13,58.58
2,2022-01-13,19,2022-01-24,59.0
3,2022-01-24,19,2022-02-02,57.77
4,2022-02-02,19,2022-02-11,59.4
5,2022-02-11,19,2022-02-23,59.73
6,2022-02-23,19,2022-03-04,59.84
7,2022-03-04,19,2022-03-15,59.42
8,2022-03-15,19,2022-03-24,59.35
9,2022-03-24,19,2022-04-04,60.07
10,2022-04-04,19,2022-04-19,59.9
11,2022-04-19,19,2022-04-28,60.58
12,2022-04-28,19,2022-05-11,60.5
13,2022-05-11,19,2022-05-23,60.21
14,2022-05-23,19,2022-06-01,60.53
15,2022-06-01,19,2022-06-13,60.64
16,2022-06-13,19,2022-06-22,60.42
17,2022-06-22,19,2022-07-01,61.66
18,2022-07-01,19,2022-07-12,60.49
19,2022-07-12,19,2022-07-22,60.71
20,2022-07-22,19,2022-08-04,60.89
21,2022-08-04,19,2022-08-16,60.68
22,2022-08-16,19,2022-08-25,60.05
23,2022-08-25,19,2022-09-05,61.95
24,2022-09-05,19,2022-09-14,61.4
25,2022-09-14,19,2022-09-23,60.68
26,2022-09-23,19,2022-10-04,60.77
27,2022-10-04,19,2022-10-17,60.66
28,2022-10-17,19,2022-10-27,61.96
29,2022-10-27,19,2022-11-07,61.04
30,2022-11-07,19,2022-11-16,61.82
31,2022-11-16,19,2022-11-25,61.29
32,2022-11-25,19,2022-12-07,61.44
33,2022-12-07,19,2022-12-19,61.91
34,2022-12-19,19,2022-12-28,61.59
