Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,19,2022-01-04,76.06
1,2022-01-04,19,2022-01-13,78.81
2,2022-01-13,19,2022-01-24,76.4
3,2022-01-24,19,2022-02-02,76.52
4,2022-02-02,19,2022-02-11,75.85
5,2022-02-11,19,2022-02-23,77.02
6,2022-02-23,19,2022-03-04,76.17
7,2022-03-04,19,2022-03-15,76.17
8,2022-03-15,19,2022-03-24,76.89
9,2022-03-24,19,2022-04-04,76.33
10,2022-04-04,19,2022-04-19,76.59
11,2022-04-19,19,2022-04-28,76.15
12,2022-04-28,19,2022-05-11,73.62
13,2022-05-11,19,2022-05-23,73.29
14,2022-05-23,19,2022-06-01,74.33
15,2022-06-01,19,2022-06-13,73.69
16,2022-06-13,19,2022-06-22,72.61
17,2022-06-22,19,2022-07-01,69.53
18,2022-07-01,19,2022-07-12,69.9
19,2022-07-12,19,2022-07-22,71.67
20,2022-07-22,19,2022-08-04,70.28
21,2022-08-04,19,2022-08-16,71.85
22,2022-08-16,19,2022-08-25,74.26
23,2022-08-25,19,2022-09-05,73.25
24,2022-09-05,19,2022-09-14,72.44
25,2022-09-14,19,2022-09-23,73.15
26,2022-09-23,19,2022-10-04,72.0
27,2022-10-04,19,2022-10-17,72.06
28,2022-10-17,19,2022-10-27,70.48
29,2022-10-27,19,2022-11-07,71.23
30,2022-11-07,19,2022-11-16,71.53
31,2022-11-16,19,2022-11-25,72.14
32,2022-11-25,19,2022-12-07,72.37
33,2022-12-07,19,2022-12-19,72.42
34,2022-12-19,19,2022-12-28,74.49
