Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,8,2022-01-04,41.25
1,2022-01-04,8,2022-01-13,42.78
2,2022-01-13,8,2022-01-24,44.72
3,2022-01-24,8,2022-02-02,44.85
4,2022-02-02,8,2022-02-11,45.12
5,2022-02-11,8,2022-02-23,47.17
6,2022-02-23,8,2022-03-04,46.77
7,2022-03-04,8,2022-03-15,45.82
8,2022-03-15,8,2022-03-24,42.85
9,2022-03-24,8,2022-04-04,45.8
10,2022-04-04,8,2022-04-19,46.23
11,2022-04-19,8,2022-04-28,45.58
12,2022-04-28,8,2022-05-11,46.34
13,2022-05-11,8,2022-05-23,45.62
14,2022-05-23,8,2022-06-01,47.41
15,2022-06-01,8,2022-06-13,47.42
16,2022-06-13,8,2022-06-22,48.38
17,2022-06-22,8,2022-07-01,48.12
18,2022-07-01,8,2022-07-12,46.94
19,2022-07-12,8,2022-07-22,45.35
20,2022-07-22,8,2022-08-04,46.21
21,2022-08-04,8,2022-08-16,45.79
22,2022-08-16,8,2022-08-25,44.48
23,2022-08-25,8,2022-09-05,46.26
24,2022-09-05,8,2022-09-14,41.98
25,2022-09-14,8,2022-09-23,41.05
26,2022-09-23,8,2022-10-04,40.8
27,2022-10-04,8,2022-10-17,41.06
28,2022-10-17,8,2022-10-27,39.51
29,2022-10-27,8,2022-11-07,40.53
30,2022-11-07,8,2022-11-16,41.73
31,2022-11-16,8,2022-11-25,41.84
32,2022-11-25,8,2022-12-07,41.36
33,2022-12-07,8,2022-12-19,41.21
34,2022-12-19,8,2022-12-28,40.93
