Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,8,2022-01-04,41.73
1,2022-01-04,8,2022-01-13,42.86
2,2022-01-13,8,2022-01-24,45.4
3,2022-01-24,8,2022-02-02,45.31
4,2022-02-02,8,2022-02-11,44.65
5,2022-02-11,8,2022-02-23,46.09
6,2022-02-23,8,2022-03-04,46.01
7,2022-03-04,8,2022-03-15,44.98
8,2022-03-15,8,2022-03-24,42.43
9,2022-03-24,8,2022-04-04,45.06
10,2022-04-04,8,2022-04-19,44.03
11,2022-04-19,8,2022-04-28,45.14
12,2022-04-28,8,2022-05-11,46.36
13,2022-05-11,8,2022-05-23,46.08
14,2022-05-23,8,2022-06-01,47.8
15,2022-06-01,8,2022-06-13,47.77
16,2022-06-13,8,2022-06-22,48.04
17,2022-06-22,8,2022-07-01,48.46
18,2022-07-01,8,2022-07-12,47.55
19,2022-07-12,8,2022-07-22,46.94
20,2022-07-22,8,2022-08-04,46.68
21,2022-08-04,8,2022-08-16,46.38
22,2022-08-16,8,2022-08-25,45.15
23,2022-08-25,8,2022-09-05,46.39
24,2022-09-05,8,2022-09-14,40.96
25,2022-09-14,8,2022-09-23,41.81
26,2022-09-23,8,2022-10-04,40.81
27,2022-10-04,8,2022-10-17,40.18
28,2022-10-17,8,2022-10-27,38.13
29,2022-10-27,8,2022-11-07,40.63
30,2022-11-07,8,2022-11-16,41.66
31,2022-11-16,8,2022-11-25,41.85
32,2022-11-25,8,2022-12-07,42.34
33,2022-12-07,8,2022-12-19,40.8
34,2022-12-19,8,2022-12-28,40.7
