Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,8,2022-01-04,41.43
1,2022-01-04,8,2022-01-13,43.46
2,2022-01-13,8,2022-01-24,45.49
3,2022-01-24,8,2022-02-02,45.34
4,2022-02-02,8,2022-02-11,45.08
5,2022-02-11,8,2022-02-23,46.19
6,2022-02-23,8,2022-03-04,46.05
7,2022-03-04,8,2022-03-15,44.53
8,2022-03-15,8,2022-03-24,42.67
9,2022-03-24,8,2022-04-04,44.65
10,2022-04-04,8,2022-04-19,44.22
11,2022-04-19,8,2022-04-28,45.36
12,2022-04-28,8,2022-05-11,46.96
13,2022-05-11,8,2022-05-23,46.82
14,2022-05-23,8,2022-06-01,47.41
15,2022-06-01,8,2022-06-13,47.99
16,2022-06-13,8,2022-06-22,48.43
17,2022-06-22,8,2022-07-01,48.27
18,2022-07-01,8,2022-07-12,47.73
19,2022-07-12,8,2022-07-22,47.16
20,2022-07-22,8,2022-08-04,46.7
21,2022-08-04,8,2022-08-16,45.81
22,2022-08-16,8,2022-08-25,45.15
23,2022-08-25,8,2022-09-05,45.75
24,2022-09-05,8,2022-09-14,41.24
25,2022-09-14,8,2022-09-23,41.54
26,2022-09-23,8,2022-10-04,40.94
27,2022-10-04,8,2022-10-17,39.77
28,2022-10-17,8,2022-10-27,37.6
29,2022-10-27,8,2022-11-07,40.95
30,2022-11-07,8,2022-11-16,41.73
31,2022-11-16,8,2022-11-25,42.25
32,2022-11-25,8,2022-12-07,42.12
33,2022-12-07,8,2022-12-19,41.26
34,2022-12-19,8,2022-12-28,40.75
