Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,8,2022-01-04,42.19
1,2022-01-04,8,2022-01-13,43.14
2,2022-01-13,8,2022-01-24,45.29
3,2022-01-24,8,2022-02-02,45.6
4,2022-02-02,8,2022-02-11,45.54
5,2022-02-11,8,2022-02-23,46.48
6,2022-02-23,8,2022-03-04,46.72
7,2022-03-04,8,2022-03-15,46.44
8,2022-03-15,8,2022-03-24,43.76
9,2022-03-24,8,2022-04-04,45.09
10,2022-04-04,8,2022-04-19,45.3
11,2022-04-19,8,2022-04-28,45.58
12,2022-04-28,8,2022-05-11,45.82
13,2022-05-11,8,2022-05-23,45.54
14,2022-05-23,8,2022-06-01,46.42
15,2022-06-01,8,2022-06-13,47.19
16,2022-06-13,8,2022-06-22,47.17
17,2022-06-22,8,2022-07-01,47.3
18,2022-07-01,8,2022-07-12,46.93
19,2022-07-12,8,2022-07-22,46.4
20,2022-07-22,8,2022-08-04,46.17
21,2022-08-04,8,2022-08-16,46.42
22,2022-08-16,8,2022-08-25,45.32
23,2022-08-25,8,2022-09-05,45.89
24,2022-09-05,8,2022-09-14,41.42
25,2022-09-14,8,2022-09-23,41.76
26,2022-09-23,8,2022-10-04,41.66
27,2022-10-04,8,2022-10-17,40.79
28,2022-10-17,8,2022-10-27,37.47
29,2022-10-27,8,2022-11-07,40.89
30,2022-11-07,8,2022-11-16,42.05
31,2022-11-16,8,2022-11-25,41.69
32,2022-11-25,8,2022-12-07,41.46
33,2022-12-07,8,2022-12-19,40.98
34,2022-12-19,8,2022-12-28,41.24
