Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,8,2022-01-04,-9490.64
1,2022-01-04,8,2022-01-13,-2513.71
2,2022-01-13,8,2022-01-24,7971.23
3,2022-01-24,8,2022-02-02,8558.5
4,2022-02-02,8,2022-02-11,-1391.0
5,2022-02-11,8,2022-02-23,-5795.0
6,2022-02-23,8,2022-03-04,1328.28
7,2022-03-04,8,2022-03-15,9612.47
8,2022-03-15,8,2022-03-24,-839.1
9,2022-03-24,8,2022-04-04,131.09
10,2022-04-04,8,2022-04-19,-9.5
11,2022-04-19,8,2022-04-28,-355.03
12,2022-04-28,8,2022-05-11,185.91
13,2022-05-11,8,2022-05-23,-254.41
14,2022-05-23,8,2022-06-01,248.23
15,2022-06-01,8,2022-06-13,-936.16
16,2022-06-13,8,2022-06-22,200.52
17,2022-06-22,8,2022-07-01,-155.72
18,2022-07-01,8,2022-07-12,62.87
19,2022-07-12,8,2022-07-22,326.83
20,2022-07-22,8,2022-08-04,-1413.72
21,2022-08-04,8,2022-08-16,794.09
22,2022-08-16,8,2022-08-25,-1501.15
23,2022-08-25,8,2022-09-05,-103.48
24,2022-09-05,8,2022-09-14,538.79
25,2022-09-14,8,2022-09-23,409.71
26,2022-09-23,8,2022-10-04,-255.68
27,2022-10-04,8,2022-10-17,168.31
28,2022-10-17,8,2022-10-27,79.18
29,2022-10-27,8,2022-11-07,95.98
30,2022-11-07,8,2022-11-16,82.76
31,2022-11-16,8,2022-11-25,-33.87
32,2022-11-25,8,2022-12-07,213.02
33,2022-12-07,8,2022-12-19,99.22
34,2022-12-19,8,2022-12-28,170.73
