Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,8,2022-01-04,42.24
1,2022-01-04,8,2022-01-13,41.28
2,2022-01-13,8,2022-01-24,45.45
3,2022-01-24,8,2022-02-02,43.08
4,2022-02-02,8,2022-02-11,46.35
5,2022-02-11,8,2022-02-23,47.82
6,2022-02-23,8,2022-03-04,47.36
7,2022-03-04,8,2022-03-15,46.37
8,2022-03-15,8,2022-03-24,41.43
9,2022-03-24,8,2022-04-04,44.28
10,2022-04-04,8,2022-04-19,45.42
11,2022-04-19,8,2022-04-28,45.95
12,2022-04-28,8,2022-05-11,44.44
13,2022-05-11,8,2022-05-23,45.39
14,2022-05-23,8,2022-06-01,45.04
15,2022-06-01,8,2022-06-13,47.57
16,2022-06-13,8,2022-06-22,46.42
17,2022-06-22,8,2022-07-01,46.61
18,2022-07-01,8,2022-07-12,47.73
19,2022-07-12,8,2022-07-22,45.48
20,2022-07-22,8,2022-08-04,48.25
21,2022-08-04,8,2022-08-16,46.54
22,2022-08-16,8,2022-08-25,46.19
23,2022-08-25,8,2022-09-05,44.77
24,2022-09-05,8,2022-09-14,41.18
25,2022-09-14,8,2022-09-23,41.03
26,2022-09-23,8,2022-10-04,41.88
27,2022-10-04,8,2022-10-17,42.02
28,2022-10-17,8,2022-10-27,37.16
29,2022-10-27,8,2022-11-07,41.55
30,2022-11-07,8,2022-11-16,39.94
31,2022-11-16,8,2022-11-25,40.74
32,2022-11-25,8,2022-12-07,41.27
33,2022-12-07,8,2022-12-19,40.38
34,2022-12-19,8,2022-12-28,41.71
