Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,8,2022-01-04,41.52
1,2022-01-04,8,2022-01-13,41.27
2,2022-01-13,8,2022-01-24,40.15
3,2022-01-24,8,2022-02-02,42.18
4,2022-02-02,8,2022-02-11,40.82
5,2022-02-11,8,2022-02-23,41.88
6,2022-02-23,8,2022-03-04,41.07
7,2022-03-04,8,2022-03-15,41.15
8,2022-03-15,8,2022-03-24,42.06
9,2022-03-24,8,2022-04-04,41.53
10,2022-04-04,8,2022-04-19,41.13
11,2022-04-19,8,2022-04-28,41.73
12,2022-04-28,8,2022-05-11,41.3
13,2022-05-11,8,2022-05-23,41.79
14,2022-05-23,8,2022-06-01,41.73
15,2022-06-01,8,2022-06-13,41.55
16,2022-06-13,8,2022-06-22,41.77
17,2022-06-22,8,2022-07-01,41.99
18,2022-07-01,8,2022-07-12,41.67
19,2022-07-12,8,2022-07-22,42.06
20,2022-07-22,8,2022-08-04,43.68
21,2022-08-04,8,2022-08-16,42.24
22,2022-08-16,8,2022-08-25,42.09
23,2022-08-25,8,2022-09-05,41.97
24,2022-09-05,8,2022-09-14,42.1
25,2022-09-14,8,2022-09-23,42.34
26,2022-09-23,8,2022-10-04,42.23
27,2022-10-04,8,2022-10-17,41.2
28,2022-10-17,8,2022-10-27,42.2
29,2022-10-27,8,2022-11-07,42.18
30,2022-11-07,8,2022-11-16,42.17
31,2022-11-16,8,2022-11-25,41.99
32,2022-11-25,8,2022-12-07,41.51
33,2022-12-07,8,2022-12-19,42.21
34,2022-12-19,8,2022-12-28,41.91
