Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,138.85
1,2022-01-04,6,2022-01-13,143.98
2,2022-01-13,6,2022-01-24,142.53
3,2022-01-24,6,2022-02-02,141.19
4,2022-02-02,6,2022-02-11,149.48
5,2022-02-11,6,2022-02-23,171.8
6,2022-02-23,6,2022-03-04,166.34
7,2022-03-04,6,2022-03-15,160.44
8,2022-03-15,6,2022-03-24,161.91
9,2022-03-24,6,2022-04-04,159.48
10,2022-04-04,6,2022-04-19,160.15
11,2022-04-19,6,2022-04-28,151.59
12,2022-04-28,6,2022-05-11,152.16
13,2022-05-11,6,2022-05-23,147.1
14,2022-05-23,6,2022-06-01,144.08
15,2022-06-01,6,2022-06-13,144.16
16,2022-06-13,6,2022-06-22,150.16
17,2022-06-22,6,2022-07-01,145.64
18,2022-07-01,6,2022-07-12,153.45
19,2022-07-12,6,2022-07-22,146.01
20,2022-07-22,6,2022-08-04,138.8
21,2022-08-04,6,2022-08-16,146.76
22,2022-08-16,6,2022-08-25,152.66
23,2022-08-25,6,2022-09-05,156.24
24,2022-09-05,6,2022-09-14,152.81
25,2022-09-14,6,2022-09-23,148.85
26,2022-09-23,6,2022-10-04,152.73
27,2022-10-04,6,2022-10-17,143.35
28,2022-10-17,6,2022-10-27,142.49
29,2022-10-27,6,2022-11-07,145.83
30,2022-11-07,6,2022-11-16,148.25
31,2022-11-16,6,2022-11-25,142.25
32,2022-11-25,6,2022-12-07,144.79
33,2022-12-07,6,2022-12-19,140.58
34,2022-12-19,6,2022-12-28,146.38
