Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,160.47
1,2022-01-04,6,2022-01-13,134.09
2,2022-01-13,6,2022-01-24,129.35
3,2022-01-24,6,2022-02-02,126.56
4,2022-02-02,6,2022-02-11,144.58
5,2022-02-11,6,2022-02-23,170.68
6,2022-02-23,6,2022-03-04,161.13
7,2022-03-04,6,2022-03-15,170.32
8,2022-03-15,6,2022-03-24,164.56
9,2022-03-24,6,2022-04-04,153.68
10,2022-04-04,6,2022-04-19,170.42
11,2022-04-19,6,2022-04-28,141.07
12,2022-04-28,6,2022-05-11,153.79
13,2022-05-11,6,2022-05-23,144.21
14,2022-05-23,6,2022-06-01,142.68
15,2022-06-01,6,2022-06-13,146.67
16,2022-06-13,6,2022-06-22,139.51
17,2022-06-22,6,2022-07-01,131.88
18,2022-07-01,6,2022-07-12,149.43
19,2022-07-12,6,2022-07-22,146.04
20,2022-07-22,6,2022-08-04,144.1
21,2022-08-04,6,2022-08-16,141.32
22,2022-08-16,6,2022-08-25,153.3
23,2022-08-25,6,2022-09-05,157.57
24,2022-09-05,6,2022-09-14,150.04
25,2022-09-14,6,2022-09-23,143.03
26,2022-09-23,6,2022-10-04,152.6
27,2022-10-04,6,2022-10-17,144.7
28,2022-10-17,6,2022-10-27,153.15
29,2022-10-27,6,2022-11-07,145.12
30,2022-11-07,6,2022-11-16,148.51
31,2022-11-16,6,2022-11-25,144.28
32,2022-11-25,6,2022-12-07,131.92
33,2022-12-07,6,2022-12-19,136.18
34,2022-12-19,6,2022-12-28,144.23
