Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,141.04
1,2022-01-04,6,2022-01-13,144.0
2,2022-01-13,6,2022-01-24,141.19
3,2022-01-24,6,2022-02-02,142.03
4,2022-02-02,6,2022-02-11,144.08
5,2022-02-11,6,2022-02-23,148.76
6,2022-02-23,6,2022-03-04,159.6
7,2022-03-04,6,2022-03-15,158.27
8,2022-03-15,6,2022-03-24,152.62
9,2022-03-24,6,2022-04-04,154.9
10,2022-04-04,6,2022-04-19,159.47
11,2022-04-19,6,2022-04-28,150.74
12,2022-04-28,6,2022-05-11,147.39
13,2022-05-11,6,2022-05-23,147.79
14,2022-05-23,6,2022-06-01,146.91
15,2022-06-01,6,2022-06-13,142.18
16,2022-06-13,6,2022-06-22,143.84
17,2022-06-22,6,2022-07-01,144.71
18,2022-07-01,6,2022-07-12,148.78
19,2022-07-12,6,2022-07-22,145.22
20,2022-07-22,6,2022-08-04,142.84
21,2022-08-04,6,2022-08-16,145.78
22,2022-08-16,6,2022-08-25,148.6
23,2022-08-25,6,2022-09-05,153.5
24,2022-09-05,6,2022-09-14,150.18
25,2022-09-14,6,2022-09-23,148.25
26,2022-09-23,6,2022-10-04,150.2
27,2022-10-04,6,2022-10-17,145.49
28,2022-10-17,6,2022-10-27,144.93
29,2022-10-27,6,2022-11-07,146.51
30,2022-11-07,6,2022-11-16,147.41
31,2022-11-16,6,2022-11-25,147.16
32,2022-11-25,6,2022-12-07,145.83
33,2022-12-07,6,2022-12-19,143.5
34,2022-12-19,6,2022-12-28,139.41
