Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,147.35
1,2022-01-04,6,2022-01-13,151.04
2,2022-01-13,6,2022-01-24,184.9
3,2022-01-24,6,2022-02-02,180.54
4,2022-02-02,6,2022-02-11,192.84
5,2022-02-11,6,2022-02-23,126.98
6,2022-02-23,6,2022-03-04,146.8
7,2022-03-04,6,2022-03-15,182.15
8,2022-03-15,6,2022-03-24,196.98
9,2022-03-24,6,2022-04-04,170.64
10,2022-04-04,6,2022-04-19,171.32
11,2022-04-19,6,2022-04-28,169.08
12,2022-04-28,6,2022-05-11,189.25
13,2022-05-11,6,2022-05-23,188.54
14,2022-05-23,6,2022-06-01,188.79
15,2022-06-01,6,2022-06-13,169.34
16,2022-06-13,6,2022-06-22,164.38
17,2022-06-22,6,2022-07-01,195.64
18,2022-07-01,6,2022-07-12,181.3
19,2022-07-12,6,2022-07-22,185.25
20,2022-07-22,6,2022-08-04,188.09
21,2022-08-04,6,2022-08-16,189.69
22,2022-08-16,6,2022-08-25,183.4
23,2022-08-25,6,2022-09-05,168.44
24,2022-09-05,6,2022-09-14,160.91
25,2022-09-14,6,2022-09-23,185.94
26,2022-09-23,6,2022-10-04,175.1
27,2022-10-04,6,2022-10-17,188.83
28,2022-10-17,6,2022-10-27,180.0
29,2022-10-27,6,2022-11-07,179.23
30,2022-11-07,6,2022-11-16,180.56
31,2022-11-16,6,2022-11-25,182.43
32,2022-11-25,6,2022-12-07,127.1
33,2022-12-07,6,2022-12-19,169.83
34,2022-12-19,6,2022-12-28,187.46
