Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,137.64
1,2022-01-04,6,2022-01-13,143.4
2,2022-01-13,6,2022-01-24,140.26
3,2022-01-24,6,2022-02-02,142.38
4,2022-02-02,6,2022-02-11,143.74
5,2022-02-11,6,2022-02-23,148.02
6,2022-02-23,6,2022-03-04,158.18
7,2022-03-04,6,2022-03-15,160.57
8,2022-03-15,6,2022-03-24,157.77
9,2022-03-24,6,2022-04-04,158.63
10,2022-04-04,6,2022-04-19,161.64
11,2022-04-19,6,2022-04-28,151.62
12,2022-04-28,6,2022-05-11,151.12
13,2022-05-11,6,2022-05-23,148.93
14,2022-05-23,6,2022-06-01,147.73
15,2022-06-01,6,2022-06-13,143.8
16,2022-06-13,6,2022-06-22,143.95
17,2022-06-22,6,2022-07-01,145.1
18,2022-07-01,6,2022-07-12,148.12
19,2022-07-12,6,2022-07-22,148.06
20,2022-07-22,6,2022-08-04,144.47
21,2022-08-04,6,2022-08-16,145.99
22,2022-08-16,6,2022-08-25,148.14
23,2022-08-25,6,2022-09-05,152.43
24,2022-09-05,6,2022-09-14,151.81
25,2022-09-14,6,2022-09-23,146.88
26,2022-09-23,6,2022-10-04,149.56
27,2022-10-04,6,2022-10-17,146.36
28,2022-10-17,6,2022-10-27,146.2
29,2022-10-27,6,2022-11-07,147.22
30,2022-11-07,6,2022-11-16,146.75
31,2022-11-16,6,2022-11-25,145.73
32,2022-11-25,6,2022-12-07,147.99
33,2022-12-07,6,2022-12-19,146.68
34,2022-12-19,6,2022-12-28,147.03
