Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,156.04
1,2022-01-04,6,2022-01-13,152.89
2,2022-01-13,6,2022-01-24,122.8
3,2022-01-24,6,2022-02-02,135.9
4,2022-02-02,6,2022-02-11,147.46
5,2022-02-11,6,2022-02-23,172.74
6,2022-02-23,6,2022-03-04,163.13
7,2022-03-04,6,2022-03-15,161.54
8,2022-03-15,6,2022-03-24,156.36
9,2022-03-24,6,2022-04-04,159.25
10,2022-04-04,6,2022-04-19,167.18
11,2022-04-19,6,2022-04-28,155.9
12,2022-04-28,6,2022-05-11,143.73
13,2022-05-11,6,2022-05-23,137.65
14,2022-05-23,6,2022-06-01,149.48
15,2022-06-01,6,2022-06-13,142.23
16,2022-06-13,6,2022-06-22,145.92
17,2022-06-22,6,2022-07-01,123.58
18,2022-07-01,6,2022-07-12,138.11
19,2022-07-12,6,2022-07-22,151.43
20,2022-07-22,6,2022-08-04,135.87
21,2022-08-04,6,2022-08-16,139.43
22,2022-08-16,6,2022-08-25,160.35
23,2022-08-25,6,2022-09-05,161.8
24,2022-09-05,6,2022-09-14,154.73
25,2022-09-14,6,2022-09-23,139.09
26,2022-09-23,6,2022-10-04,153.85
27,2022-10-04,6,2022-10-17,132.38
28,2022-10-17,6,2022-10-27,149.5
29,2022-10-27,6,2022-11-07,149.72
30,2022-11-07,6,2022-11-16,156.6
31,2022-11-16,6,2022-11-25,142.9
32,2022-11-25,6,2022-12-07,133.87
33,2022-12-07,6,2022-12-19,128.39
34,2022-12-19,6,2022-12-28,151.86
