Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,136.96
1,2022-01-04,6,2022-01-13,142.0
2,2022-01-13,6,2022-01-24,140.07
3,2022-01-24,6,2022-02-02,141.63
4,2022-02-02,6,2022-02-11,143.03
5,2022-02-11,6,2022-02-23,145.88
6,2022-02-23,6,2022-03-04,153.88
7,2022-03-04,6,2022-03-15,158.8
8,2022-03-15,6,2022-03-24,155.56
9,2022-03-24,6,2022-04-04,158.94
10,2022-04-04,6,2022-04-19,160.65
11,2022-04-19,6,2022-04-28,152.91
12,2022-04-28,6,2022-05-11,150.46
13,2022-05-11,6,2022-05-23,145.46
14,2022-05-23,6,2022-06-01,147.18
15,2022-06-01,6,2022-06-13,143.12
16,2022-06-13,6,2022-06-22,147.28
17,2022-06-22,6,2022-07-01,145.44
18,2022-07-01,6,2022-07-12,149.88
19,2022-07-12,6,2022-07-22,146.65
20,2022-07-22,6,2022-08-04,144.16
21,2022-08-04,6,2022-08-16,145.95
22,2022-08-16,6,2022-08-25,148.93
23,2022-08-25,6,2022-09-05,153.75
24,2022-09-05,6,2022-09-14,149.29
25,2022-09-14,6,2022-09-23,146.06
26,2022-09-23,6,2022-10-04,149.54
27,2022-10-04,6,2022-10-17,146.66
28,2022-10-17,6,2022-10-27,144.85
29,2022-10-27,6,2022-11-07,147.37
30,2022-11-07,6,2022-11-16,147.82
31,2022-11-16,6,2022-11-25,146.82
32,2022-11-25,6,2022-12-07,147.66
33,2022-12-07,6,2022-12-19,144.59
34,2022-12-19,6,2022-12-28,142.97
