Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,142.86
1,2022-01-04,6,2022-01-13,144.85
2,2022-01-13,6,2022-01-24,134.97
3,2022-01-24,6,2022-02-02,144.58
4,2022-02-02,6,2022-02-11,145.45
5,2022-02-11,6,2022-02-23,144.37
6,2022-02-23,6,2022-03-04,169.94
7,2022-03-04,6,2022-03-15,168.83
8,2022-03-15,6,2022-03-24,152.8
9,2022-03-24,6,2022-04-04,162.65
10,2022-04-04,6,2022-04-19,163.84
11,2022-04-19,6,2022-04-28,155.44
12,2022-04-28,6,2022-05-11,147.74
13,2022-05-11,6,2022-05-23,146.73
14,2022-05-23,6,2022-06-01,148.85
15,2022-06-01,6,2022-06-13,142.34
16,2022-06-13,6,2022-06-22,142.19
17,2022-06-22,6,2022-07-01,146.9
18,2022-07-01,6,2022-07-12,149.89
19,2022-07-12,6,2022-07-22,146.53
20,2022-07-22,6,2022-08-04,139.36
21,2022-08-04,6,2022-08-16,145.71
22,2022-08-16,6,2022-08-25,147.44
23,2022-08-25,6,2022-09-05,155.47
24,2022-09-05,6,2022-09-14,150.96
25,2022-09-14,6,2022-09-23,144.94
26,2022-09-23,6,2022-10-04,149.99
27,2022-10-04,6,2022-10-17,146.58
28,2022-10-17,6,2022-10-27,145.43
29,2022-10-27,6,2022-11-07,149.6
30,2022-11-07,6,2022-11-16,149.93
31,2022-11-16,6,2022-11-25,145.87
32,2022-11-25,6,2022-12-07,145.97
33,2022-12-07,6,2022-12-19,145.97
34,2022-12-19,6,2022-12-28,137.73
