Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,140.13
1,2022-01-04,6,2022-01-13,143.57
2,2022-01-13,6,2022-01-24,142.72
3,2022-01-24,6,2022-02-02,143.62
4,2022-02-02,6,2022-02-11,143.47
5,2022-02-11,6,2022-02-23,148.86
6,2022-02-23,6,2022-03-04,155.6
7,2022-03-04,6,2022-03-15,158.72
8,2022-03-15,6,2022-03-24,157.38
9,2022-03-24,6,2022-04-04,158.96
10,2022-04-04,6,2022-04-19,159.06
11,2022-04-19,6,2022-04-28,151.72
12,2022-04-28,6,2022-05-11,154.38
13,2022-05-11,6,2022-05-23,147.16
14,2022-05-23,6,2022-06-01,144.62
15,2022-06-01,6,2022-06-13,147.81
16,2022-06-13,6,2022-06-22,144.41
17,2022-06-22,6,2022-07-01,146.64
18,2022-07-01,6,2022-07-12,149.24
19,2022-07-12,6,2022-07-22,147.31
20,2022-07-22,6,2022-08-04,144.62
21,2022-08-04,6,2022-08-16,145.59
22,2022-08-16,6,2022-08-25,148.44
23,2022-08-25,6,2022-09-05,152.26
24,2022-09-05,6,2022-09-14,152.03
25,2022-09-14,6,2022-09-23,147.96
26,2022-09-23,6,2022-10-04,150.43
27,2022-10-04,6,2022-10-17,147.54
28,2022-10-17,6,2022-10-27,144.19
29,2022-10-27,6,2022-11-07,145.16
30,2022-11-07,6,2022-11-16,145.75
31,2022-11-16,6,2022-11-25,147.44
32,2022-11-25,6,2022-12-07,144.24
33,2022-12-07,6,2022-12-19,142.76
34,2022-12-19,6,2022-12-28,145.35
