Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,139.85
1,2022-01-04,6,2022-01-13,141.57
2,2022-01-13,6,2022-01-24,141.84
3,2022-01-24,6,2022-02-02,140.9
4,2022-02-02,6,2022-02-11,143.31
5,2022-02-11,6,2022-02-23,145.28
6,2022-02-23,6,2022-03-04,159.09
7,2022-03-04,6,2022-03-15,158.2
8,2022-03-15,6,2022-03-24,159.04
9,2022-03-24,6,2022-04-04,156.83
10,2022-04-04,6,2022-04-19,160.56
11,2022-04-19,6,2022-04-28,151.07
12,2022-04-28,6,2022-05-11,150.88
13,2022-05-11,6,2022-05-23,146.44
14,2022-05-23,6,2022-06-01,145.26
15,2022-06-01,6,2022-06-13,145.09
16,2022-06-13,6,2022-06-22,143.19
17,2022-06-22,6,2022-07-01,146.25
18,2022-07-01,6,2022-07-12,147.65
19,2022-07-12,6,2022-07-22,147.01
20,2022-07-22,6,2022-08-04,145.79
21,2022-08-04,6,2022-08-16,145.97
22,2022-08-16,6,2022-08-25,146.46
23,2022-08-25,6,2022-09-05,152.61
24,2022-09-05,6,2022-09-14,147.4
25,2022-09-14,6,2022-09-23,149.02
26,2022-09-23,6,2022-10-04,149.15
27,2022-10-04,6,2022-10-17,146.82
28,2022-10-17,6,2022-10-27,145.0
29,2022-10-27,6,2022-11-07,147.19
30,2022-11-07,6,2022-11-16,146.34
31,2022-11-16,6,2022-11-25,144.9
32,2022-11-25,6,2022-12-07,146.65
33,2022-12-07,6,2022-12-19,144.8
34,2022-12-19,6,2022-12-28,144.9
