Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,148.02
1,2022-01-04,6,2022-01-13,150.67
2,2022-01-13,6,2022-01-24,152.36
3,2022-01-24,6,2022-02-02,148.7
4,2022-02-02,6,2022-02-11,156.0
5,2022-02-11,6,2022-02-23,152.11
6,2022-02-23,6,2022-03-04,150.38
7,2022-03-04,6,2022-03-15,166.97
8,2022-03-15,6,2022-03-24,150.86
9,2022-03-24,6,2022-04-04,160.16
10,2022-04-04,6,2022-04-19,150.21
11,2022-04-19,6,2022-04-28,147.55
12,2022-04-28,6,2022-05-11,158.18
13,2022-05-11,6,2022-05-23,158.73
14,2022-05-23,6,2022-06-01,162.29
15,2022-06-01,6,2022-06-13,161.16
16,2022-06-13,6,2022-06-22,162.06
17,2022-06-22,6,2022-07-01,161.03
18,2022-07-01,6,2022-07-12,160.24
19,2022-07-12,6,2022-07-22,149.42
20,2022-07-22,6,2022-08-04,148.53
21,2022-08-04,6,2022-08-16,148.7
22,2022-08-16,6,2022-08-25,148.47
23,2022-08-25,6,2022-09-05,162.86
24,2022-09-05,6,2022-09-14,155.35
25,2022-09-14,6,2022-09-23,174.87
26,2022-09-23,6,2022-10-04,150.25
27,2022-10-04,6,2022-10-17,147.83
28,2022-10-17,6,2022-10-27,164.26
29,2022-10-27,6,2022-11-07,176.37
30,2022-11-07,6,2022-11-16,142.35
31,2022-11-16,6,2022-11-25,130.69
32,2022-11-25,6,2022-12-07,133.29
33,2022-12-07,6,2022-12-19,145.7
34,2022-12-19,6,2022-12-28,153.46
