Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,131.56
1,2022-01-04,6,2022-01-13,153.82
2,2022-01-13,6,2022-01-24,147.82
3,2022-01-24,6,2022-02-02,136.57
4,2022-02-02,6,2022-02-11,157.09
5,2022-02-11,6,2022-02-23,171.25
6,2022-02-23,6,2022-03-04,170.27
7,2022-03-04,6,2022-03-15,161.11
8,2022-03-15,6,2022-03-24,159.95
9,2022-03-24,6,2022-04-04,164.23
10,2022-04-04,6,2022-04-19,165.06
11,2022-04-19,6,2022-04-28,149.86
12,2022-04-28,6,2022-05-11,155.61
13,2022-05-11,6,2022-05-23,139.05
14,2022-05-23,6,2022-06-01,156.77
15,2022-06-01,6,2022-06-13,150.06
16,2022-06-13,6,2022-06-22,140.97
17,2022-06-22,6,2022-07-01,145.56
18,2022-07-01,6,2022-07-12,161.22
19,2022-07-12,6,2022-07-22,142.71
20,2022-07-22,6,2022-08-04,137.48
21,2022-08-04,6,2022-08-16,143.96
22,2022-08-16,6,2022-08-25,157.18
23,2022-08-25,6,2022-09-05,154.5
24,2022-09-05,6,2022-09-14,151.6
25,2022-09-14,6,2022-09-23,145.44
26,2022-09-23,6,2022-10-04,153.38
27,2022-10-04,6,2022-10-17,150.04
28,2022-10-17,6,2022-10-27,145.83
29,2022-10-27,6,2022-11-07,150.29
30,2022-11-07,6,2022-11-16,144.98
31,2022-11-16,6,2022-11-25,147.48
32,2022-11-25,6,2022-12-07,142.76
33,2022-12-07,6,2022-12-19,139.89
34,2022-12-19,6,2022-12-28,152.06
