param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,6.52,10.66,60.0,45.71,42.86,22.86,17.14
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,10.76,19.75,57.14,42.86,40.0,25.71,20.0
BlockRNNModel_input_chunk_length5_modelLSTM_n_epochs15_output_chunk_length1.csv,7.14,13.82,51.43,40.0,34.29,22.86,17.14
TransformerModel_input_chunk_length1_n_epochs15_output_chunk_length1.csv,7.47,15.02,54.29,40.0,37.14,25.71,20.0
TransformerModel_input_chunk_length3_n_epochs15_output_chunk_length1.csv,19.8,33.96,60.0,54.29,51.43,17.14,11.43
TransformerModel_input_chunk_length5_n_epochs15_output_chunk_length1.csv,19.95,33.33,60.0,48.57,48.57,20.0,14.29
XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.75,7.94,48.57,31.43,28.57,20.0,20.0
XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,3.89,7.77,57.14,37.14,34.29,22.86,22.86
XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,4.4,8.83,42.86,25.71,22.86,20.0,20.0
XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,3.69,7.85,48.57,31.43,28.57,20.0,20.0
XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,3.88,7.57,48.57,22.86,22.86,25.71,25.71
XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,4.23,8.66,45.71,25.71,25.71,20.0,20.0
XGBModel_lags6_lags_past_covariates10_output_chunk_length1.csv,3.75,7.95,51.43,34.29,31.43,20.0,20.0
XGBModel_lags6_lags_past_covariates2_output_chunk_length1.csv,3.58,7.66,51.43,28.57,25.71,25.71,25.71
XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,4.19,8.68,45.71,25.71,25.71,20.0,20.0
