Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,157.07
1,2022-01-04,6,2022-01-13,151.91
2,2022-01-13,6,2022-01-24,161.7
3,2022-01-24,6,2022-02-02,151.95
4,2022-02-02,6,2022-02-11,163.46
5,2022-02-11,6,2022-02-23,150.57
6,2022-02-23,6,2022-03-04,144.72
7,2022-03-04,6,2022-03-15,168.08
8,2022-03-15,6,2022-03-24,145.07
9,2022-03-24,6,2022-04-04,169.04
10,2022-04-04,6,2022-04-19,146.09
11,2022-04-19,6,2022-04-28,146.11
12,2022-04-28,6,2022-05-11,170.13
13,2022-05-11,6,2022-05-23,145.3
14,2022-05-23,6,2022-06-01,149.14
15,2022-06-01,6,2022-06-13,169.75
16,2022-06-13,6,2022-06-22,144.77
17,2022-06-22,6,2022-07-01,146.77
18,2022-07-01,6,2022-07-12,171.2
19,2022-07-12,6,2022-07-22,149.65
20,2022-07-22,6,2022-08-04,147.26
21,2022-08-04,6,2022-08-16,147.22
22,2022-08-16,6,2022-08-25,147.32
23,2022-08-25,6,2022-09-05,146.42
24,2022-09-05,6,2022-09-14,171.52
25,2022-09-14,6,2022-09-23,170.36
26,2022-09-23,6,2022-10-04,147.79
27,2022-10-04,6,2022-10-17,146.59
28,2022-10-17,6,2022-10-27,168.35
29,2022-10-27,6,2022-11-07,169.2
30,2022-11-07,6,2022-11-16,157.32
31,2022-11-16,6,2022-11-25,147.78
32,2022-11-25,6,2022-12-07,147.2
33,2022-12-07,6,2022-12-19,148.73
34,2022-12-19,6,2022-12-28,157.31
