Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,139.26
1,2022-01-04,6,2022-01-13,143.13
2,2022-01-13,6,2022-01-24,143.84
3,2022-01-24,6,2022-02-02,141.13
4,2022-02-02,6,2022-02-11,142.52
5,2022-02-11,6,2022-02-23,149.69
6,2022-02-23,6,2022-03-04,160.73
7,2022-03-04,6,2022-03-15,161.08
8,2022-03-15,6,2022-03-24,160.24
9,2022-03-24,6,2022-04-04,162.16
10,2022-04-04,6,2022-04-19,161.19
11,2022-04-19,6,2022-04-28,154.85
12,2022-04-28,6,2022-05-11,153.48
13,2022-05-11,6,2022-05-23,149.65
14,2022-05-23,6,2022-06-01,145.72
15,2022-06-01,6,2022-06-13,147.9
16,2022-06-13,6,2022-06-22,143.24
17,2022-06-22,6,2022-07-01,146.89
18,2022-07-01,6,2022-07-12,150.62
19,2022-07-12,6,2022-07-22,151.17
20,2022-07-22,6,2022-08-04,143.9
21,2022-08-04,6,2022-08-16,144.88
22,2022-08-16,6,2022-08-25,146.35
23,2022-08-25,6,2022-09-05,153.58
24,2022-09-05,6,2022-09-14,150.9
25,2022-09-14,6,2022-09-23,148.6
26,2022-09-23,6,2022-10-04,148.41
27,2022-10-04,6,2022-10-17,147.82
28,2022-10-17,6,2022-10-27,144.49
29,2022-10-27,6,2022-11-07,145.24
30,2022-11-07,6,2022-11-16,146.31
31,2022-11-16,6,2022-11-25,145.88
32,2022-11-25,6,2022-12-07,143.82
33,2022-12-07,6,2022-12-19,146.09
34,2022-12-19,6,2022-12-28,144.96
