Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,140.75
1,2022-01-04,6,2022-01-13,141.44
2,2022-01-13,6,2022-01-24,141.75
3,2022-01-24,6,2022-02-02,141.62
4,2022-02-02,6,2022-02-11,141.94
5,2022-02-11,6,2022-02-23,144.62
6,2022-02-23,6,2022-03-04,149.19
7,2022-03-04,6,2022-03-15,151.94
8,2022-03-15,6,2022-03-24,154.62
9,2022-03-24,6,2022-04-04,156.31
10,2022-04-04,6,2022-04-19,158.31
11,2022-04-19,6,2022-04-28,159.88
12,2022-04-28,6,2022-05-11,160.25
13,2022-05-11,6,2022-05-23,157.44
14,2022-05-23,6,2022-06-01,154.56
15,2022-06-01,6,2022-06-13,152.81
16,2022-06-13,6,2022-06-22,151.38
17,2022-06-22,6,2022-07-01,150.0
18,2022-07-01,6,2022-07-12,148.81
19,2022-07-12,6,2022-07-22,148.06
20,2022-07-22,6,2022-08-04,146.38
21,2022-08-04,6,2022-08-16,146.31
22,2022-08-16,6,2022-08-25,147.06
23,2022-08-25,6,2022-09-05,148.38
24,2022-09-05,6,2022-09-14,149.06
25,2022-09-14,6,2022-09-23,149.31
26,2022-09-23,6,2022-10-04,149.31
27,2022-10-04,6,2022-10-17,148.81
28,2022-10-17,6,2022-10-27,149.5
29,2022-10-27,6,2022-11-07,149.25
30,2022-11-07,6,2022-11-16,148.81
31,2022-11-16,6,2022-11-25,147.25
32,2022-11-25,6,2022-12-07,146.12
33,2022-12-07,6,2022-12-19,145.19
34,2022-12-19,6,2022-12-28,144.25
