param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,5.99,0.65,65.71,42.86,42.86,22.86,22.86
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,4.84,0.55,60.0,42.86,42.86,17.14,17.14
BlockRNNModel_input_chunk_length5_modelLSTM_n_epochs15_output_chunk_length1.csv,4.69,0.53,68.57,45.71,45.71,22.86,22.86
LinearRegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,4.17,0.47,54.29,37.14,37.14,17.14,17.14
LinearRegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,4.2,0.46,45.71,37.14,37.14,8.57,8.57
LinearRegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,4.19,0.47,54.29,37.14,37.14,17.14,17.14
LinearRegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,4.22,0.47,45.71,37.14,37.14,8.57,8.57
LinearRegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,4.17,0.47,54.29,37.14,37.14,17.14,17.14
LinearRegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,4.21,0.47,45.71,37.14,37.14,8.57,8.57
RandomForest_lags10_lags_past_covariates10_output_chunk_length1.csv,3.19,0.36,42.86,5.71,5.71,37.14,37.14
RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,3.05,0.35,42.86,5.71,5.71,37.14,37.14
RandomForest_lags2_lags_past_covariates10_output_chunk_length1.csv,3.23,0.37,48.57,8.57,8.57,40.0,40.0
RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,3.27,0.38,51.43,14.29,14.29,37.14,37.14
RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,3.35,0.39,37.14,2.86,2.86,34.29,34.29
RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,3.08,0.36,45.71,8.57,8.57,37.14,37.14
RegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,4.17,0.47,54.29,37.14,37.14,17.14,17.14
RegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,4.2,0.46,45.71,37.14,37.14,8.57,8.57
RegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,4.19,0.47,54.29,37.14,37.14,17.14,17.14
RegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,4.22,0.47,45.71,37.14,37.14,8.57,8.57
RegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,4.17,0.47,54.29,37.14,37.14,17.14,17.14
RegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,4.21,0.47,45.71,37.14,37.14,8.57,8.57
TransformerModel_input_chunk_length1_n_epochs15_output_chunk_length1.csv,5.11,0.57,65.71,48.57,48.57,17.14,17.14
TransformerModel_input_chunk_length3_n_epochs15_output_chunk_length1.csv,6.39,0.72,60.0,37.14,34.29,25.71,25.71
TransformerModel_input_chunk_length5_n_epochs15_output_chunk_length1.csv,11.32,1.17,60.0,37.14,34.29,25.71,25.71
XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,3.43,0.38,40.0,14.29,14.29,25.71,25.71
XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,3.51,0.39,48.57,11.43,11.43,37.14,37.14
XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.25,0.36,45.71,17.14,17.14,28.57,28.57
XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,3.51,0.38,37.14,11.43,11.43,25.71,25.71
XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,3.63,0.39,45.71,14.29,14.29,31.43,31.43
XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.36,0.37,51.43,17.14,17.14,34.29,34.29
XGBModel_lags6_lags_past_covariates10_output_chunk_length1.csv,3.45,0.38,40.0,14.29,14.29,25.71,25.71
XGBModel_lags6_lags_past_covariates2_output_chunk_length1.csv,3.31,0.38,48.57,11.43,11.43,37.14,37.14
XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.34,0.37,51.43,17.14,17.14,34.29,34.29
