Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,37.37
1,2022-01-04,12,2022-01-13,38.2
2,2022-01-13,12,2022-01-24,38.23
3,2022-01-24,12,2022-02-02,38.17
4,2022-02-02,12,2022-02-11,38.26
5,2022-02-11,12,2022-02-23,39.32
6,2022-02-23,12,2022-03-04,38.66
7,2022-03-04,12,2022-03-15,38.54
8,2022-03-15,12,2022-03-24,38.21
9,2022-03-24,12,2022-04-04,38.5
10,2022-04-04,12,2022-04-19,38.73
11,2022-04-19,12,2022-04-28,37.93
12,2022-04-28,12,2022-05-11,37.07
13,2022-05-11,12,2022-05-23,37.63
14,2022-05-23,12,2022-06-01,38.05
15,2022-06-01,12,2022-06-13,38.36
16,2022-06-13,12,2022-06-22,37.91
17,2022-06-22,12,2022-07-01,34.98
18,2022-07-01,12,2022-07-12,34.88
19,2022-07-12,12,2022-07-22,35.26
20,2022-07-22,12,2022-08-04,35.35
21,2022-08-04,12,2022-08-16,35.48
22,2022-08-16,12,2022-08-25,37.34
23,2022-08-25,12,2022-09-05,38.02
24,2022-09-05,12,2022-09-14,37.62
25,2022-09-14,12,2022-09-23,37.07
26,2022-09-23,12,2022-10-04,37.07
27,2022-10-04,12,2022-10-17,35.3
28,2022-10-17,12,2022-10-27,34.82
29,2022-10-27,12,2022-11-07,35.45
30,2022-11-07,12,2022-11-16,36.23
31,2022-11-16,12,2022-11-25,34.88
32,2022-11-25,12,2022-12-07,35.1
33,2022-12-07,12,2022-12-19,34.73
34,2022-12-19,12,2022-12-28,34.08
