Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,39.51
1,2022-01-04,12,2022-01-13,37.69
2,2022-01-13,12,2022-01-24,36.27
3,2022-01-24,12,2022-02-02,42.22
4,2022-02-02,12,2022-02-11,41.15
5,2022-02-11,12,2022-02-23,48.51
6,2022-02-23,12,2022-03-04,28.89
7,2022-03-04,12,2022-03-15,34.45
8,2022-03-15,12,2022-03-24,37.21
9,2022-03-24,12,2022-04-04,43.97
10,2022-04-04,12,2022-04-19,35.75
11,2022-04-19,12,2022-04-28,37.76
12,2022-04-28,12,2022-05-11,40.47
13,2022-05-11,12,2022-05-23,37.64
14,2022-05-23,12,2022-06-01,38.83
15,2022-06-01,12,2022-06-13,36.19
16,2022-06-13,12,2022-06-22,38.24
17,2022-06-22,12,2022-07-01,31.43
18,2022-07-01,12,2022-07-12,41.97
19,2022-07-12,12,2022-07-22,40.09
20,2022-07-22,12,2022-08-04,36.44
21,2022-08-04,12,2022-08-16,41.81
22,2022-08-16,12,2022-08-25,35.55
23,2022-08-25,12,2022-09-05,34.75
24,2022-09-05,12,2022-09-14,34.49
25,2022-09-14,12,2022-09-23,29.93
26,2022-09-23,12,2022-10-04,37.13
27,2022-10-04,12,2022-10-17,20.63
28,2022-10-17,12,2022-10-27,38.89
29,2022-10-27,12,2022-11-07,34.18
30,2022-11-07,12,2022-11-16,44.77
31,2022-11-16,12,2022-11-25,32.39
32,2022-11-25,12,2022-12-07,32.23
33,2022-12-07,12,2022-12-19,30.44
34,2022-12-19,12,2022-12-28,19.17
