Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,37.45
1,2022-01-04,12,2022-01-13,37.83
2,2022-01-13,12,2022-01-24,38.65
3,2022-01-24,12,2022-02-02,38.18
4,2022-02-02,12,2022-02-11,36.73
5,2022-02-11,12,2022-02-23,37.85
6,2022-02-23,12,2022-03-04,37.65
7,2022-03-04,12,2022-03-15,38.08
8,2022-03-15,12,2022-03-24,38.12
9,2022-03-24,12,2022-04-04,38.65
10,2022-04-04,12,2022-04-19,38.77
11,2022-04-19,12,2022-04-28,38.06
12,2022-04-28,12,2022-05-11,37.49
13,2022-05-11,12,2022-05-23,36.5
14,2022-05-23,12,2022-06-01,37.03
15,2022-06-01,12,2022-06-13,37.57
16,2022-06-13,12,2022-06-22,37.24
17,2022-06-22,12,2022-07-01,34.94
18,2022-07-01,12,2022-07-12,34.7
19,2022-07-12,12,2022-07-22,34.91
20,2022-07-22,12,2022-08-04,35.12
21,2022-08-04,12,2022-08-16,35.06
22,2022-08-16,12,2022-08-25,35.95
23,2022-08-25,12,2022-09-05,37.23
24,2022-09-05,12,2022-09-14,36.08
25,2022-09-14,12,2022-09-23,36.72
26,2022-09-23,12,2022-10-04,36.82
27,2022-10-04,12,2022-10-17,35.56
28,2022-10-17,12,2022-10-27,35.24
29,2022-10-27,12,2022-11-07,35.55
30,2022-11-07,12,2022-11-16,36.14
31,2022-11-16,12,2022-11-25,34.85
32,2022-11-25,12,2022-12-07,35.16
33,2022-12-07,12,2022-12-19,34.92
34,2022-12-19,12,2022-12-28,34.73
