Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,-10533.88
1,2022-01-04,12,2022-01-13,-363136.23
2,2022-01-13,12,2022-01-24,29063.85
3,2022-01-24,12,2022-02-02,-76918.12
4,2022-02-02,12,2022-02-11,6053.09
5,2022-02-11,12,2022-02-23,693.14
6,2022-02-23,12,2022-03-04,-13558.21
7,2022-03-04,12,2022-03-15,14551.32
8,2022-03-15,12,2022-03-24,3329.07
9,2022-03-24,12,2022-04-04,-16743.73
10,2022-04-04,12,2022-04-19,-6177.93
11,2022-04-19,12,2022-04-28,-3361.9
12,2022-04-28,12,2022-05-11,-4184.61
13,2022-05-11,12,2022-05-23,-638.0
14,2022-05-23,12,2022-06-01,6690.79
15,2022-06-01,12,2022-06-13,6090.67
16,2022-06-13,12,2022-06-22,10180.85
17,2022-06-22,12,2022-07-01,3157.89
18,2022-07-01,12,2022-07-12,-92.73
19,2022-07-12,12,2022-07-22,-964.24
20,2022-07-22,12,2022-08-04,-372.83
21,2022-08-04,12,2022-08-16,-500.53
22,2022-08-16,12,2022-08-25,777.05
23,2022-08-25,12,2022-09-05,-541.81
24,2022-09-05,12,2022-09-14,-64.63
25,2022-09-14,12,2022-09-23,-648.57
26,2022-09-23,12,2022-10-04,16.98
27,2022-10-04,12,2022-10-17,120.22
28,2022-10-17,12,2022-10-27,306.83
29,2022-10-27,12,2022-11-07,158.64
30,2022-11-07,12,2022-11-16,590.62
31,2022-11-16,12,2022-11-25,223.01
32,2022-11-25,12,2022-12-07,-149.16
33,2022-12-07,12,2022-12-19,256.73
34,2022-12-19,12,2022-12-28,507.78
