Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,35.95
1,2022-01-04,12,2022-01-13,31.67
2,2022-01-13,12,2022-01-24,36.61
3,2022-01-24,12,2022-02-02,39.13
4,2022-02-02,12,2022-02-11,37.07
5,2022-02-11,12,2022-02-23,39.2
6,2022-02-23,12,2022-03-04,38.79
7,2022-03-04,12,2022-03-15,37.81
8,2022-03-15,12,2022-03-24,36.54
9,2022-03-24,12,2022-04-04,37.82
10,2022-04-04,12,2022-04-19,38.77
11,2022-04-19,12,2022-04-28,38.05
12,2022-04-28,12,2022-05-11,37.53
13,2022-05-11,12,2022-05-23,37.7
14,2022-05-23,12,2022-06-01,41.12
15,2022-06-01,12,2022-06-13,39.89
16,2022-06-13,12,2022-06-22,37.6
17,2022-06-22,12,2022-07-01,34.44
18,2022-07-01,12,2022-07-12,36.8
19,2022-07-12,12,2022-07-22,34.73
20,2022-07-22,12,2022-08-04,35.08
21,2022-08-04,12,2022-08-16,33.35
22,2022-08-16,12,2022-08-25,37.25
23,2022-08-25,12,2022-09-05,38.92
24,2022-09-05,12,2022-09-14,38.69
25,2022-09-14,12,2022-09-23,38.8
26,2022-09-23,12,2022-10-04,36.63
27,2022-10-04,12,2022-10-17,35.3
28,2022-10-17,12,2022-10-27,33.06
29,2022-10-27,12,2022-11-07,36.09
30,2022-11-07,12,2022-11-16,35.09
31,2022-11-16,12,2022-11-25,33.31
32,2022-11-25,12,2022-12-07,33.92
33,2022-12-07,12,2022-12-19,28.18
34,2022-12-19,12,2022-12-28,29.73
