Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,37.49
1,2022-01-04,12,2022-01-13,37.89
2,2022-01-13,12,2022-01-24,38.43
3,2022-01-24,12,2022-02-02,38.35
4,2022-02-02,12,2022-02-11,37.03
5,2022-02-11,12,2022-02-23,38.05
6,2022-02-23,12,2022-03-04,36.78
7,2022-03-04,12,2022-03-15,38.39
8,2022-03-15,12,2022-03-24,38.61
9,2022-03-24,12,2022-04-04,38.83
10,2022-04-04,12,2022-04-19,38.88
11,2022-04-19,12,2022-04-28,38.44
12,2022-04-28,12,2022-05-11,37.31
13,2022-05-11,12,2022-05-23,37.52
14,2022-05-23,12,2022-06-01,37.21
15,2022-06-01,12,2022-06-13,37.45
16,2022-06-13,12,2022-06-22,37.31
17,2022-06-22,12,2022-07-01,35.1
18,2022-07-01,12,2022-07-12,34.95
19,2022-07-12,12,2022-07-22,35.41
20,2022-07-22,12,2022-08-04,35.23
21,2022-08-04,12,2022-08-16,35.17
22,2022-08-16,12,2022-08-25,36.13
23,2022-08-25,12,2022-09-05,37.02
24,2022-09-05,12,2022-09-14,36.71
25,2022-09-14,12,2022-09-23,36.48
26,2022-09-23,12,2022-10-04,36.98
27,2022-10-04,12,2022-10-17,34.95
28,2022-10-17,12,2022-10-27,35.03
29,2022-10-27,12,2022-11-07,35.45
30,2022-11-07,12,2022-11-16,36.05
31,2022-11-16,12,2022-11-25,35.09
32,2022-11-25,12,2022-12-07,35.18
33,2022-12-07,12,2022-12-19,34.75
34,2022-12-19,12,2022-12-28,34.17
