param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length12_modelLSTM_n_epochs15_output_chunk_length1.csv,16.62,6.24,51.43,51.43,51.43,2.86,0.0
BlockRNNModel_input_chunk_length16_modelLSTM_n_epochs15_output_chunk_length1.csv,14.12,5.39,51.43,51.43,51.43,2.86,0.0
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,17.17,6.4,51.43,51.43,51.43,2.86,0.0
BlockRNNModel_input_chunk_length20_modelLSTM_n_epochs15_output_chunk_length1.csv,14.22,5.47,51.43,51.43,51.43,2.86,0.0
BlockRNNModel_input_chunk_length24_modelLSTM_n_epochs15_output_chunk_length1.csv,16.03,6.08,51.43,51.43,51.43,2.86,0.0
BlockRNNModel_input_chunk_length2_modelLSTM_n_epochs15_output_chunk_length1.csv,18.26,6.86,51.43,51.43,51.43,2.86,0.0
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,18.04,6.68,51.43,51.43,51.43,2.86,0.0
BlockRNNModel_input_chunk_length4_modelLSTM_n_epochs15_output_chunk_length1.csv,16.41,6.23,51.43,51.43,51.43,2.86,0.0
BlockRNNModel_input_chunk_length8_modelLSTM_n_epochs15_output_chunk_length1.csv,16.67,6.29,51.43,51.43,51.43,2.86,0.0
LinearRegressionModel_lags12_lags_past_covariates12_output_chunk_length1.csv,5.22,2.54,45.71,22.86,22.86,22.86,22.86
LinearRegressionModel_lags12_lags_past_covariates16_output_chunk_length1.csv,5.13,2.35,37.14,17.14,17.14,20.0,20.0
LinearRegressionModel_lags12_lags_past_covariates1_output_chunk_length1.csv,19.55,9.57,40.0,31.43,28.57,14.29,11.43
LinearRegressionModel_lags12_lags_past_covariates20_output_chunk_length1.csv,4.99,2.29,40.0,22.86,22.86,17.14,17.14
LinearRegressionModel_lags12_lags_past_covariates24_output_chunk_length1.csv,7.39,3.76,45.71,25.71,25.71,20.0,20.0
LinearRegressionModel_lags12_lags_past_covariates2_output_chunk_length1.csv,6.13,2.74,65.71,42.86,40.0,25.71,25.71
LinearRegressionModel_lags12_lags_past_covariates3_output_chunk_length1.csv,5.2,2.24,60.0,28.57,28.57,31.43,31.43
LinearRegressionModel_lags12_lags_past_covariates4_output_chunk_length1.csv,3.78,1.73,60.0,28.57,28.57,31.43,31.43
LinearRegressionModel_lags12_lags_past_covariates8_output_chunk_length1.csv,5.15,2.43,45.71,14.29,14.29,31.43,31.43
LinearRegressionModel_lags16_lags_past_covariates12_output_chunk_length1.csv,4.93,2.35,42.86,22.86,22.86,20.0,20.0
LinearRegressionModel_lags16_lags_past_covariates16_output_chunk_length1.csv,5.13,2.35,37.14,17.14,17.14,20.0,20.0
LinearRegressionModel_lags16_lags_past_covariates1_output_chunk_length1.csv,13.96,6.86,42.86,22.86,22.86,22.86,20.0
LinearRegressionModel_lags16_lags_past_covariates20_output_chunk_length1.csv,4.99,2.29,40.0,22.86,22.86,17.14,17.14
LinearRegressionModel_lags16_lags_past_covariates24_output_chunk_length1.csv,7.39,3.76,45.71,25.71,25.71,20.0,20.0
LinearRegressionModel_lags16_lags_past_covariates2_output_chunk_length1.csv,5.82,2.68,71.43,48.57,45.71,25.71,25.71
LinearRegressionModel_lags16_lags_past_covariates3_output_chunk_length1.csv,4.86,2.16,62.86,34.29,31.43,31.43,31.43
LinearRegressionModel_lags16_lags_past_covariates4_output_chunk_length1.csv,3.69,1.71,62.86,34.29,31.43,31.43,31.43
LinearRegressionModel_lags16_lags_past_covariates8_output_chunk_length1.csv,4.62,2.15,57.14,20.0,20.0,37.14,37.14
LinearRegressionModel_lags1_lags_past_covariates12_output_chunk_length1.csv,5.31,2.57,45.71,22.86,22.86,22.86,22.86
LinearRegressionModel_lags1_lags_past_covariates16_output_chunk_length1.csv,5.14,2.35,37.14,17.14,17.14,20.0,20.0
LinearRegressionModel_lags1_lags_past_covariates1_output_chunk_length1.csv,28.78,14.2,48.57,31.43,28.57,25.71,22.86
LinearRegressionModel_lags1_lags_past_covariates20_output_chunk_length1.csv,4.99,2.29,40.0,22.86,22.86,17.14,17.14
LinearRegressionModel_lags1_lags_past_covariates24_output_chunk_length1.csv,7.39,3.76,45.71,25.71,25.71,20.0,20.0
LinearRegressionModel_lags1_lags_past_covariates2_output_chunk_length1.csv,6.24,2.81,68.57,48.57,45.71,22.86,22.86
LinearRegressionModel_lags1_lags_past_covariates3_output_chunk_length1.csv,4.76,2.22,60.0,28.57,28.57,34.29,34.29
LinearRegressionModel_lags1_lags_past_covariates4_output_chunk_length1.csv,4.02,1.8,51.43,25.71,25.71,25.71,25.71
LinearRegressionModel_lags1_lags_past_covariates8_output_chunk_length1.csv,5.13,2.42,45.71,17.14,17.14,28.57,28.57
