Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,37.76
1,2022-01-04,12,2022-01-13,37.51
2,2022-01-13,12,2022-01-24,38.84
3,2022-01-24,12,2022-02-02,38.02
4,2022-02-02,12,2022-02-11,38.38
5,2022-02-11,12,2022-02-23,39.48
6,2022-02-23,12,2022-03-04,38.56
7,2022-03-04,12,2022-03-15,39.26
8,2022-03-15,12,2022-03-24,39.0
9,2022-03-24,12,2022-04-04,38.93
10,2022-04-04,12,2022-04-19,39.11
11,2022-04-19,12,2022-04-28,38.11
12,2022-04-28,12,2022-05-11,37.32
13,2022-05-11,12,2022-05-23,37.31
14,2022-05-23,12,2022-06-01,37.99
15,2022-06-01,12,2022-06-13,37.98
16,2022-06-13,12,2022-06-22,37.42
17,2022-06-22,12,2022-07-01,34.73
18,2022-07-01,12,2022-07-12,35.17
19,2022-07-12,12,2022-07-22,35.63
20,2022-07-22,12,2022-08-04,35.74
21,2022-08-04,12,2022-08-16,35.38
22,2022-08-16,12,2022-08-25,37.58
23,2022-08-25,12,2022-09-05,37.85
24,2022-09-05,12,2022-09-14,37.3
25,2022-09-14,12,2022-09-23,37.34
26,2022-09-23,12,2022-10-04,37.13
27,2022-10-04,12,2022-10-17,35.41
28,2022-10-17,12,2022-10-27,35.23
29,2022-10-27,12,2022-11-07,36.3
30,2022-11-07,12,2022-11-16,36.7
31,2022-11-16,12,2022-11-25,35.3
32,2022-11-25,12,2022-12-07,35.06
33,2022-12-07,12,2022-12-19,35.06
34,2022-12-19,12,2022-12-28,33.13
