Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,38.02
1,2022-01-04,12,2022-01-13,37.91
2,2022-01-13,12,2022-01-24,38.29
3,2022-01-24,12,2022-02-02,38.23
4,2022-02-02,12,2022-02-11,38.37
5,2022-02-11,12,2022-02-23,38.05
6,2022-02-23,12,2022-03-04,38.45
7,2022-03-04,12,2022-03-15,38.76
8,2022-03-15,12,2022-03-24,38.41
9,2022-03-24,12,2022-04-04,38.63
10,2022-04-04,12,2022-04-19,38.98
11,2022-04-19,12,2022-04-28,38.18
12,2022-04-28,12,2022-05-11,38.27
13,2022-05-11,12,2022-05-23,38.44
14,2022-05-23,12,2022-06-01,38.32
15,2022-06-01,12,2022-06-13,38.68
16,2022-06-13,12,2022-06-22,37.92
17,2022-06-22,12,2022-07-01,34.98
18,2022-07-01,12,2022-07-12,34.74
19,2022-07-12,12,2022-07-22,35.56
20,2022-07-22,12,2022-08-04,35.43
21,2022-08-04,12,2022-08-16,35.02
22,2022-08-16,12,2022-08-25,37.03
23,2022-08-25,12,2022-09-05,38.14
24,2022-09-05,12,2022-09-14,37.09
25,2022-09-14,12,2022-09-23,36.74
26,2022-09-23,12,2022-10-04,37.25
27,2022-10-04,12,2022-10-17,37.39
28,2022-10-17,12,2022-10-27,38.3
29,2022-10-27,12,2022-11-07,39.4
30,2022-11-07,12,2022-11-16,38.06
31,2022-11-16,12,2022-11-25,38.67
32,2022-11-25,12,2022-12-07,36.91
33,2022-12-07,12,2022-12-19,36.05
34,2022-12-19,12,2022-12-28,35.4
