Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,-167438.76
1,2022-01-04,12,2022-01-13,18303.13
2,2022-01-13,12,2022-01-24,12406.26
3,2022-01-24,12,2022-02-02,6057.07
4,2022-02-02,12,2022-02-11,6600.81
5,2022-02-11,12,2022-02-23,-10553.33
6,2022-02-23,12,2022-03-04,-147222.66
7,2022-03-04,12,2022-03-15,-244.28
8,2022-03-15,12,2022-03-24,-4695.79
9,2022-03-24,12,2022-04-04,-13422.03
10,2022-04-04,12,2022-04-19,-3306.55
11,2022-04-19,12,2022-04-28,-408.12
12,2022-04-28,12,2022-05-11,10302.12
13,2022-05-11,12,2022-05-23,2171.23
14,2022-05-23,12,2022-06-01,9848.62
15,2022-06-01,12,2022-06-13,4230.14
16,2022-06-13,12,2022-06-22,-174.38
17,2022-06-22,12,2022-07-01,4984.25
18,2022-07-01,12,2022-07-12,1668.19
19,2022-07-12,12,2022-07-22,2467.89
20,2022-07-22,12,2022-08-04,-897.66
21,2022-08-04,12,2022-08-16,-32.92
22,2022-08-16,12,2022-08-25,-506.2
23,2022-08-25,12,2022-09-05,-522.02
24,2022-09-05,12,2022-09-14,-1035.6
25,2022-09-14,12,2022-09-23,-369.61
26,2022-09-23,12,2022-10-04,-227.69
27,2022-10-04,12,2022-10-17,-491.68
28,2022-10-17,12,2022-10-27,-376.56
29,2022-10-27,12,2022-11-07,225.78
30,2022-11-07,12,2022-11-16,183.41
31,2022-11-16,12,2022-11-25,578.22
32,2022-11-25,12,2022-12-07,-1480.0
33,2022-12-07,12,2022-12-19,-54.34
34,2022-12-19,12,2022-12-28,1914.05
