param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length12_modelLSTM_n_epochs15_output_chunk_length1.csv,16.65,6.35,54.29,54.29,54.29,2.86,0.0
BlockRNNModel_input_chunk_length16_modelLSTM_n_epochs15_output_chunk_length1.csv,15.03,5.89,54.29,54.29,54.29,2.86,0.0
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,18.09,6.76,54.29,54.29,54.29,2.86,0.0
BlockRNNModel_input_chunk_length20_modelLSTM_n_epochs15_output_chunk_length1.csv,14.65,5.8,54.29,54.29,54.29,2.86,0.0
BlockRNNModel_input_chunk_length24_modelLSTM_n_epochs15_output_chunk_length1.csv,15.31,5.91,54.29,54.29,54.29,2.86,0.0
BlockRNNModel_input_chunk_length2_modelLSTM_n_epochs15_output_chunk_length1.csv,18.41,6.84,54.29,54.29,54.29,2.86,0.0
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,17.77,6.6,54.29,54.29,54.29,2.86,0.0
BlockRNNModel_input_chunk_length4_modelLSTM_n_epochs15_output_chunk_length1.csv,17.61,6.66,54.29,54.29,54.29,2.86,0.0
BlockRNNModel_input_chunk_length8_modelLSTM_n_epochs15_output_chunk_length1.csv,17.32,6.44,54.29,54.29,54.29,2.86,0.0
LinearRegressionModel_lags12_lags_past_covariates12_output_chunk_length1.csv,5.16,2.46,42.86,20.0,20.0,22.86,22.86
LinearRegressionModel_lags12_lags_past_covariates16_output_chunk_length1.csv,5.1,2.36,37.14,20.0,20.0,17.14,17.14
LinearRegressionModel_lags12_lags_past_covariates1_output_chunk_length1.csv,6.09,2.8,60.0,34.29,31.43,31.43,28.57
LinearRegressionModel_lags12_lags_past_covariates20_output_chunk_length1.csv,4.84,2.21,40.0,22.86,22.86,17.14,17.14
LinearRegressionModel_lags12_lags_past_covariates24_output_chunk_length1.csv,7.41,3.62,42.86,25.71,25.71,17.14,17.14
LinearRegressionModel_lags12_lags_past_covariates2_output_chunk_length1.csv,4.59,2.06,60.0,40.0,37.14,22.86,22.86
LinearRegressionModel_lags12_lags_past_covariates3_output_chunk_length1.csv,4.51,1.91,54.29,28.57,28.57,25.71,25.71
LinearRegressionModel_lags12_lags_past_covariates4_output_chunk_length1.csv,3.68,1.63,60.0,34.29,34.29,25.71,25.71
LinearRegressionModel_lags12_lags_past_covariates8_output_chunk_length1.csv,4.87,2.3,48.57,17.14,17.14,31.43,31.43
LinearRegressionModel_lags16_lags_past_covariates12_output_chunk_length1.csv,4.84,2.26,37.14,22.86,22.86,14.29,14.29
LinearRegressionModel_lags16_lags_past_covariates16_output_chunk_length1.csv,5.1,2.35,37.14,20.0,20.0,17.14,17.14
